instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,16,20430947.618854,20478576.273907,20439098.564949,20730119.038507,20740276.575175,20740496.768779,1.982347,2.144912,2.192733,2.192843,58,952,3600.000000,16,20,30,GUROBI,1
1,New,16,20371894.790654,20429182.194858,20386323.294317,20681467.029354,20712466.351495,20714268.593081,1.487087,1.771140,2.559887,2.559983,530,3585,3600.000000,16,30,30,GUROBI,1
2,New,16,20488398.243479,20544372.909571,20496648.646553,20807452.514776,20824229.044868,20826220.381156,1.020968,1.154537,1.166677,1.167190,19,731,3600.000000,16,14,30,GUROBI,1
3,New,16,20429684.857915,20475119.726284,20452774.500305,20739023.040760,20741543.245611,20741543.245611,1.702490,1.863183,1.870491,1.870578,12,614,3600.000000,16,30,30,GUROBI,1
4,New,16,20351304.214669,20411104.066982,20371295.707571,20670709.094800,20673381.630050,20675341.092226,1.284540,1.462556,1.499475,1.502837,50,884,3600.000000,16,30,30,GUROBI,1
5,New,16,20409423.376461,20460518.953043,20424026.041165,20711356.803981,20725971.964302,20726917.165723,1.394878,1.556076,1.587352,1.587446,31,906,3600.000000,16,30,30,GUROBI,1
6,New,16,20451033.963955,20513125.056177,20466159.270227,20758307.796907,20761465.412687,20762879.629077,1.347270,1.482059,1.483213,1.491098,10,677,3600.000000,16,30,30,GUROBI,1
7,New,16,20426614.918477,20470851.041487,20439164.685523,20731120.344221,20734798.136536,20736650.285529,1.048892,1.258422,1.266069,1.284368,19,623,3600.000000,16,14,30,GUROBI,1
8,New,16,20439362.901253,20481390.137798,20447425.532693,20742040.749048,20752858.914658,20752858.914658,2.221203,2.394763,2.403524,2.421273,23,835,3600.000000,16,25,30,GUROBI,1
9,New,16,20421296.267553,20474878.780546,20426008.880181,20728690.846238,20732872.742440,20733902.011035,1.284661,1.431014,1.470784,1.472406,60,958,3600.000000,16,30,30,GUROBI,1
10,New,16,20403775.462458,20450084.471837,20411722.366270,20707343.075380,20723285.317988,20725033.328120,1.394387,1.550821,1.604076,1.604183,79,1034,3600.000000,16,18,30,GUROBI,1
