instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,New,64,20430947.618854,20509302.700170,20438640.668688,20643625.461531,20698117.845355,100000000000000007629769841091887003294964970946560.000000,62.803964,63.967964,62.803964,300.023964,14900,69832,300.000000,64,30,CBC,1
1,Farkas,64,20441753.976393,20535590.200070,20449504.270719,21187317.557283,21223239.343906,21223239.343906,1.646943,1.678943,3.038943,3.042943,278,689,300.000000,64,30,CBC,1
2,Farkas,64,20434172.826325,20512508.867280,20441855.212573,20637229.796412,20727811.003691,20760574.511363,1.376752,2.312752,300.060752,300.064752,16405,111641,300.000000,64,30,CBC,1
3,Farkas,64,20429173.753101,20513706.003305,20436846.137525,20937170.011812,21017277.523416,21017277.523416,1.534734,1.602734,83.258734,83.266734,13744,48492,300.000000,64,30,CBC,1
4,Farkas,64,20426135.221971,20504458.950104,20433799.146789,21041717.366902,21110530.626991,21110530.626991,1.585500,1.653500,66.389500,66.393500,12140,40120,300.000000,64,30,CBC,1
5,Farkas,64,20433985.113627,20512346.003589,20441665.319220,20774197.909134,20854390.611890,20854390.611890,1.486186,1.750186,72.942186,72.950186,11737,37803,300.000000,64,30,CBC,1
6,Farkas,64,20438386.491091,20527603.419777,20445989.358534,21222011.461518,21286207.808171,21286207.808171,1.614821,1.658821,11.838821,11.842821,2142,5635,300.000000,64,30,CBC,1
7,Farkas,64,20432653.513102,20521904.244034,20440320.779453,20964691.192759,21037198.160282,21037198.160282,1.539711,1.627711,33.831711,33.839711,6092,16644,300.000000,64,30,CBC,1
8,Farkas,64,20437540.483775,20531333.157129,20445203.065034,21012306.300522,21076050.131804,21076050.131804,1.558452,1.622452,45.634452,45.638452,9013,19028,300.000000,64,30,CBC,1
9,Farkas,64,20442793.190925,20530676.879042,20450523.761615,21105656.266022,21173400.332389,21173400.332389,1.627180,1.699180,41.155180,41.159180,7269,29237,300.000000,64,30,CBC,1
