instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,New,16,20430947.618854,20478576.273907,20439098.564949,20730119.038507,20740276.575175,20740496.768779,2.186361,2.332495,2.377962,2.378058,58,952,3600.000000,16,20,30,GUROBI,1,0,0,0
1,Farkas,16,20452607.653056,20500239.324215,20460680.084270,21175172.947147,21179088.826287,21179226.133110,0.108316,0.212568,0.218952,0.219481,14,495,3600.000000,16,20,0,GUROBI,1,10,10,0
2,Farkas,16,20435552.135477,20483201.047882,20443680.365724,21030240.820175,21037976.269732,21039420.977807,0.096443,0.211352,0.222849,0.222944,20,461,3600.000000,16,20,0,GUROBI,1,6,6,0
3,Farkas,16,20422520.539688,20470146.820185,20430668.130703,21030401.052843,21062730.791016,21064559.375170,0.093416,0.178491,0.224200,0.292161,255,1279,3600.000000,16,20,0,GUROBI,1,9,9,0
4,Farkas,16,20420592.779233,20469659.817922,20428733.185993,21136086.737665,21151827.441562,21151827.441562,0.097763,0.157962,0.168420,0.170828,30,437,3600.000000,16,20,0,GUROBI,1,11,11,0
5,Farkas,16,20451816.883835,20500819.279647,20460263.495557,21333150.880215,21337658.648950,21338985.010508,0.108357,0.172854,0.180620,0.180707,29,362,3600.000000,16,20,0,GUROBI,1,13,13,0
6,Farkas,16,20442025.489321,20489701.179589,20450092.019816,21260288.259876,21260498.454422,21260498.454422,0.100502,0.147103,0.147637,0.148187,3,299,3600.000000,16,20,0,GUROBI,1,11,11,0
7,Farkas,16,20433704.130643,20486871.726912,20441813.218426,21168570.503527,21168692.175273,21168692.175273,0.100265,0.146171,0.148989,0.149074,6,255,3600.000000,16,20,0,GUROBI,1,11,11,0
8,Farkas,16,20435915.135096,20493872.772874,20444045.822464,21238616.773008,21238928.015042,21238928.015042,0.105113,0.156839,0.162949,0.163209,12,304,3600.000000,16,20,0,GUROBI,1,13,13,0
9,Farkas,16,20446811.809788,20504834.415709,20455240.623686,21354357.859882,21354365.935709,21354365.935709,0.107998,0.141465,0.142106,0.142629,5,211,3600.000000,16,20,0,GUROBI,1,15,15,0
10,Farkas,16,20443872.349847,20501830.942852,20451997.177138,21175985.072449,21176112.836075,21176112.836075,0.100304,0.155593,0.161873,0.161959,12,354,3600.000000,16,20,0,GUROBI,1,11,11,0
