instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,New,64,7155.000000,7335.000000,7313.651925,7535.000000,7615.000000,7615.000000,8.326041,8.652608,8.677053,8.679187,9,1234,3600.000000,74,26,26,GUROBI,1,52,0,0
1,Old,64,7403.450941,7474.523810,7453.755675,7730.313587,7895.000000,7895.000000,8.502693,8.858015,8.995554,8.995643,55,1666,3600.000000,74,65,0,GUROBI,1,52,0,0
2,Old,64,7299.200000,7458.581081,7441.833916,7618.869039,7665.000000,7665.000000,7.314222,7.762737,7.812339,7.813055,17,985,3600.000000,74,60,0,GUROBI,1,56,4,0
3,Old,64,7307.739153,7427.434003,7407.553204,7545.857648,7685.000000,7685.000000,9.720270,10.089211,10.124091,10.169160,17,1021,3600.000000,74,63,0,GUROBI,1,53,1,0
4,Old,64,7319.098075,7451.308883,7434.950784,7655.645936,7805.000000,7805.000000,6.066992,6.323995,6.401638,6.401741,21,1052,3600.000000,74,60,0,GUROBI,1,56,4,0
5,Old,64,7240.000000,7335.000000,7327.679496,7519.897769,7615.000000,7615.000000,4.308722,4.647136,4.714596,4.725753,22,974,3600.000000,74,41,0,GUROBI,1,56,4,0
6,Old,64,7209.095238,7434.708029,7399.653403,7553.464437,7595.000000,7595.000000,3.375734,3.943547,3.962491,3.963028,4,711,3600.000000,74,23,0,GUROBI,1,52,0,0
7,Old,64,7190.000000,7338.000000,7285.367074,7535.046585,7545.000000,7545.000000,4.451199,4.978105,4.986507,4.986593,3,659,3600.000000,74,24,0,GUROBI,1,53,1,0
8,Old,64,7157.682119,7335.000000,7320.410270,7459.455507,7615.000000,7615.000000,7.806726,8.183577,8.292057,8.305963,37,1507,3600.000000,74,63,0,GUROBI,1,52,0,0
9,Old,64,7225.363636,7410.888185,7399.222607,7658.083121,7765.000000,7765.000000,8.204170,8.507636,8.568500,8.578307,22,1176,3600.000000,74,49,0,GUROBI,1,52,0,0
10,Old,64,7213.032462,7411.870968,7403.634722,7573.119485,7705.000000,7705.000000,6.977374,7.458711,7.622320,7.636781,54,1858,3600.000000,74,42,0,GUROBI,1,52,0,0
