instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,New,4,7155.000000,7215.000000,7215.000000,7529.428571,7615.000000,7615.000000,1.114910,1.522804,1.570450,1.575077,11,1509,3600.000000,4,17,26,GUROBI,1,0,0,0
1,Old,4,7157.500000,7218.500000,7207.070512,7497.474053,7616.000000,7616.000000,0.192011,0.531568,0.566056,0.587516,17,1115,3600.000000,4,26,0,GUROBI,1,0,0,0
2,Old,4,7154.250000,7214.750000,7204.271160,7420.460060,7615.000000,7615.000000,0.241445,0.573510,0.670755,0.731287,48,1643,3600.000000,4,41,0,GUROBI,1,0,0,0
3,Old,4,7156.000000,7215.750000,7208.865381,7515.284598,7614.000000,7614.000000,0.192400,0.510944,0.574100,0.577489,20,970,3600.000000,4,23,0,GUROBI,1,0,0,0
4,Old,4,7155.000000,7215.000000,7198.636287,7501.859480,7615.000000,7615.000000,0.193724,0.447629,0.473910,0.494321,19,928,3600.000000,4,26,0,GUROBI,1,0,0,0
5,Old,4,7154.500000,7215.000000,7215.000000,7493.826908,7615.000000,7615.000000,0.179547,0.462613,0.522005,0.524470,17,1013,3600.000000,4,26,0,GUROBI,1,0,0,0
6,Old,4,7152.750000,7213.750000,7202.752868,7500.624415,7611.000000,7611.000000,0.217119,0.505487,0.586588,0.601078,25,1155,3600.000000,4,26,0,GUROBI,1,0,0,0
7,Old,4,7142.500000,7202.000000,7191.544003,7479.667374,7596.000000,7596.000000,0.202566,0.562866,0.637852,0.638150,24,1226,3600.000000,4,23,0,GUROBI,1,0,0,0
8,Old,4,7151.500000,7211.375000,7204.326929,7463.181314,7609.000000,7609.000000,0.299734,0.618586,0.655785,0.674030,17,925,3600.000000,4,49,0,GUROBI,1,0,0,0
9,Old,4,7151.750000,7211.750000,7202.540049,7490.410740,7609.000000,7609.000000,0.293850,0.638987,0.706356,0.713860,22,1176,3600.000000,4,47,0,GUROBI,1,0,0,0
10,Old,4,7155.500000,7216.500000,7211.603750,7524.041101,7612.000000,7612.000000,1.731427,2.069285,2.181816,2.183381,34,1395,3600.000000,4,28,0,GUROBI,1,0,0,0
