instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,None,16,6875.000000,6875.000000,6875.000000,7409.255559,7615.000000,7615.000000,0.017922,3.437922,34.537922,34.569922,1384,36617,300.000000,0,0,CBC,1
1,None,16,6865.500000,6865.500000,6865.500000,7395.456129,7596.000000,7596.000000,0.002398,3.806398,18.074398,18.114398,625,16588,300.000000,0,0,CBC,1
2,None,16,6866.500000,6866.500000,6866.500000,7329.730689,7608.000000,7608.000000,0.001768,3.357768,27.113768,27.141768,1128,28723,300.000000,0,0,CBC,1
3,None,16,6873.500000,6873.500000,6873.500000,7374.384748,7610.000000,7610.000000,0.001765,3.389765,21.737765,21.773765,870,22783,300.000000,0,0,CBC,1
4,None,16,6868.000000,6868.000000,6868.000000,7461.362376,7612.000000,7612.000000,0.001989,2.085989,26.829989,26.849989,916,25179,300.000000,0,0,CBC,1
5,None,16,6879.500000,6879.500000,6879.500000,7445.144703,7612.000000,7612.000000,0.002431,2.994431,20.674431,20.702431,756,19984,300.000000,0,0,CBC,1
6,None,16,6873.500000,6873.500000,6873.500000,7420.344121,7608.000000,7608.000000,0.001781,2.501781,22.377781,22.405781,840,22089,300.000000,0,0,CBC,1
7,None,16,6858.500000,6858.500000,6858.500000,7397.705961,7597.000000,7597.000000,0.002322,3.050322,20.970322,21.006322,675,19260,300.000000,0,0,CBC,1
8,None,16,6882.500000,6882.500000,6882.500000,7402.922587,7622.000000,7622.000000,0.002449,3.674449,19.106449,19.146449,638,15802,300.000000,0,0,CBC,1
9,None,16,6869.000000,6869.000000,6869.000000,7337.441687,7599.000000,7599.000000,0.002426,3.018426,18.022426,18.050426,692,19571,300.000000,0,0,CBC,1
10,None,16,6868.000000,6868.000000,6868.000000,7409.724037,7606.000000,7606.000000,0.001865,3.721865,25.949865,25.985865,843,22883,300.000000,0,0,CBC,1
