instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,New,4,176867.503349,176870.378349,176870.378349,256667.730710,258411.000000,258411.000000,41.193190,41.857190,60.745190,60.745190,2802,19531,300.000000,84,18,CBC,1
1,Old,4,177236.909118,177240.062964,177240.062964,226515.111729,230946.000000,230946.000000,2.673911,3.201911,165.677911,165.681911,26097,204962,300.000000,84,27,CBC,1
2,Old,4,176923.835933,176926.835933,176926.835933,257366.429647,258723.000000,258723.000000,2.541704,2.969704,10.369704,10.373704,1026,8344,300.000000,84,24,CBC,1
3,Old,4,177237.542911,177240.417911,177240.417911,258025.743724,258411.000000,258411.000000,2.495327,3.179327,82.979327,82.983327,10784,95785,300.000000,84,26,CBC,1
4,Old,4,176687.453182,176690.328182,176690.328182,256783.719785,257846.967959,258411.000000,2.443142,4.551142,302.551142,302.567142,34806,311688,300.000000,84,16,CBC,1
5,Old,4,176542.210913,176545.085913,176545.085913,264030.070418,268339.634441,270151.000000,2.528559,4.140559,302.640559,302.652559,37925,332095,300.000000,84,19,CBC,1
7,Old,4,178472.413358,178475.178063,178475.178063,277355.347310,282756.000000,282756.000000,2.625441,3.385441,153.773441,153.777441,21890,79790,300.000000,84,28,CBC,1
8,Old,4,177200.587391,177203.462391,177203.462391,258416.110120,258710.000000,258710.000000,2.510763,3.310763,7.766763,7.770763,550,5019,300.000000,84,27,CBC,1
9,Old,4,178299.937848,178302.812848,178302.812848,265929.801813,270096.566168,271265.000000,2.527727,4.087727,302.643727,302.659727,44194,370550,300.000000,84,16,CBC,1
10,Old,4,175940.291331,175943.291331,175943.291331,258204.376529,259022.000000,259022.000000,2.566982,2.998982,13.966982,13.970982,2044,14922,300.000000,84,27,CBC,1
