instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,64,180104.201530,183664.933637,182753.695137,257618.996481,258411.000000,258411.000000,3.266562,3.475787,3.485165,3.486156,9,641,3600.000000,70,24,24,GUROBI,1
1,Farkas,64,180437.369315,184105.952552,183426.728786,263176.424354,272237.628974,272248.000000,0.209609,0.335926,0.396480,0.411565,190,1398,3600.000000,70,24,0,GUROBI,1
2,Farkas,64,193263.845461,193636.275331,193263.845461,237203.704818,240678.000000,240678.000000,0.281992,0.514119,0.593555,0.593652,186,1503,3600.000000,70,24,0,GUROBI,1
3,Farkas,64,176792.899830,180946.116526,176792.899830,228894.133485,229285.904281,229295.000000,0.238206,0.423791,0.445548,0.445836,17,575,3600.000000,70,24,0,GUROBI,1
4,Farkas,64,168896.704541,176483.599895,168896.704541,218501.253962,221458.248610,221476.000000,0.286335,0.491936,0.770205,0.777571,463,5691,3600.000000,70,24,0,GUROBI,1
5,Farkas,64,170777.076047,172006.078842,170777.076047,210909.820380,210955.000000,210955.000000,0.256736,0.328724,0.329211,0.329613,1,178,3600.000000,70,24,0,GUROBI,1
6,Farkas,64,190104.915248,190229.626381,190104.915248,269376.899865,271603.000000,271603.000000,0.246425,0.349914,0.357321,0.359041,14,380,3600.000000,70,24,0,GUROBI,1
7,Farkas,64,185117.845793,185157.512459,185117.845793,216920.794548,218545.000000,218545.000000,0.244923,0.444907,0.486742,0.486835,29,939,3600.000000,70,24,0,GUROBI,1
8,Farkas,64,176871.334166,177328.112818,176871.334166,234519.957683,235917.000000,235917.000000,0.253203,0.405449,0.443568,0.443855,58,806,3600.000000,70,24,0,GUROBI,1
9,Farkas,64,172213.888583,178373.549070,172213.888583,220230.051878,222795.000000,222795.000000,0.261180,0.478190,0.550277,0.552195,70,1508,3600.000000,70,24,0,GUROBI,1
10,Farkas,64,164314.945554,164989.491475,164314.945554,172681.839853,172700.000000,172700.000000,0.266701,0.402143,0.402882,0.403360,2,357,3600.000000,70,24,0,GUROBI,1
