instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,None,16,2718.191338,2718.191338,2718.191338,3118.642230,3124.000000,3124.000000,0.000002,0.999097,0.000002,1.021222,4,838,3600.000000,0,0,0,GUROBI,1
1,None,16,2656.947441,2656.947441,2656.947441,3065.476440,3070.000000,3070.000000,0.000002,0.823383,1.235582,1.238535,71,782,3600.000000,0,0,0,GUROBI,1
2,None,16,2705.658155,2705.658155,2705.658155,3106.780686,3111.000000,3111.000000,0.000002,1.601507,1.897556,1.900059,30,935,3600.000000,0,0,0,GUROBI,1
3,None,16,2655.426830,2655.426830,2655.426830,3047.418558,3052.000000,3052.000000,0.000002,0.586444,0.680542,0.706396,21,458,3600.000000,0,0,0,GUROBI,1
4,None,16,2662.524120,2662.524120,2662.524120,3060.742977,3066.000000,3066.000000,0.000002,0.837168,1.121167,1.129185,78,772,3600.000000,0,0,0,GUROBI,1
5,None,16,2684.179878,2684.179878,2684.179878,3076.234351,3080.000000,3080.000000,0.000001,0.455631,0.495183,0.497908,11,557,3600.000000,0,0,0,GUROBI,1
6,None,16,2647.153452,2647.153452,2647.153452,3048.150832,3051.000000,3051.000000,0.000002,1.584266,2.376080,2.377402,132,1037,3600.000000,0,0,0,GUROBI,1
7,None,16,2674.036116,2674.036116,2674.036116,3080.931528,3082.000000,3082.000000,0.000002,1.128251,1.279153,1.281564,27,1071,3600.000000,0,0,0,GUROBI,1
8,None,16,2670.983226,2670.983226,2670.983226,3066.953525,3073.000000,3073.000000,0.000001,0.535585,0.621622,0.629470,34,640,3600.000000,0,0,0,GUROBI,1
9,None,16,2686.213469,2686.213469,2686.213469,3082.257045,3087.000000,3087.000000,0.000002,0.524629,0.818115,0.819411,70,769,3600.000000,0,0,0,GUROBI,1
10,None,16,2670.104661,2670.104661,2670.104661,3071.807591,3078.000000,3078.000000,0.000002,0.571963,0.928112,0.950314,50,698,3600.000000,0,0,0,GUROBI,1
