instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,None,4,2718.191338,2718.191338,2718.191338,3118.994303,3124.000000,3124.000000,0.007747,1.295747,2.671747,2.695747,70,873,300.000000,0,0,CBC,1
1,None,4,2656.947441,2656.947441,2656.947441,3066.129056,3066.129056,3098.000000,0.007664,1.091664,300.023664,300.043664,10899,132760,300.000000,0,0,CBC,1
2,None,4,2705.658155,2705.658155,2705.658155,3107.150860,3111.000000,3111.000000,0.007673,5.547673,8.803673,8.823673,112,1508,300.000000,0,0,CBC,1
3,None,4,2655.426830,2655.426830,2655.426830,3050.032832,3052.000000,3052.000000,0.007628,0.815628,3.787628,3.807628,91,1017,300.000000,0,0,CBC,1
4,None,4,2662.524120,2662.524120,2662.524120,3061.204128,3066.000000,3066.000000,0.007648,1.531648,15.159648,15.183648,514,10516,300.000000,0,0,CBC,1
5,None,4,2684.179878,2684.179878,2684.179878,3078.312213,3080.000000,3080.000000,0.007687,1.463687,4.351687,4.375687,93,1588,300.000000,0,0,CBC,1
6,None,4,2647.153452,2647.153452,2647.153452,3046.599628,3051.000000,3051.000000,0.007715,4.943715,15.347715,15.367715,357,7208,300.000000,0,0,CBC,1
7,None,4,2674.036116,2674.036116,2674.036116,3078.515464,3082.000000,3082.000000,0.007682,5.843682,32.319682,32.343682,921,10281,300.000000,0,0,CBC,1
8,None,4,2670.983226,2670.983226,2670.983226,3067.468429,3073.000000,3073.000000,0.007674,2.495674,17.755674,17.783674,542,7301,300.000000,0,0,CBC,1
9,None,4,2686.213469,2686.213469,2686.213469,3082.960526,3087.000000,3087.000000,0.007649,0.831649,6.383649,6.407649,183,2498,300.000000,0,0,CBC,1
10,None,4,2670.104661,2670.104661,2670.104661,3073.044388,3078.000000,3078.000000,0.007632,5.315632,35.203632,35.227632,1023,14213,300.000000,0,0,CBC,1
