instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,None,16,2718.191338,2718.191338,2718.191338,3118.642230,3124.000000,3124.000000,0.000003,0.978250,0.000003,1.000300,4,838,3600.000000,0,0,0,GUROBI,1,0,0,0
1,None,16,2679.390485,2679.390485,2679.390485,3066.517503,3071.000000,3071.000000,0.000002,1.416329,1.595274,1.607741,51,946,3600.000000,0,0,0,GUROBI,1,0,0,0
2,None,16,2580.372060,2580.372060,2580.372060,2976.572759,2982.000000,2982.000000,0.000002,0.473868,0.589222,0.602126,44,547,3600.000000,0,0,0,GUROBI,1,0,0,0
3,None,16,2683.209497,2683.209497,2683.209497,3078.648928,3083.000000,3083.000000,0.000002,0.811995,0.941725,0.942845,38,1014,3600.000000,0,0,0,GUROBI,1,0,0,0
4,None,16,2582.432805,2582.432805,2582.432805,2986.709993,2989.000000,2989.000000,0.000002,0.538035,0.648155,0.650961,29,550,3600.000000,0,0,0,GUROBI,1,0,0,0
5,None,16,2576.219351,2576.219351,2576.219351,2963.797569,2968.000000,2968.000000,0.000002,0.469749,0.617462,0.620057,36,564,3600.000000,0,0,0,GUROBI,1,0,0,0
6,None,16,2556.184073,2556.184073,2556.184073,2933.217044,2936.000000,2936.000000,0.000002,0.777682,0.835082,0.835358,11,462,3600.000000,0,0,0,GUROBI,1,0,0,0
7,None,16,2581.458217,2581.458217,2581.458217,2980.526948,2987.000000,2987.000000,0.000003,0.779189,0.861757,0.875581,26,542,3600.000000,0,0,0,GUROBI,1,0,0,0
8,None,16,2642.816153,2642.816153,2642.816153,3029.798019,3035.000000,3035.000000,0.000003,0.430660,0.517901,0.522152,26,477,3600.000000,0,0,0,GUROBI,1,0,0,0
9,None,16,2702.025306,2702.025306,2702.025306,3095.699004,3101.000000,3101.000000,0.000002,0.800543,0.916952,0.922610,32,999,3600.000000,0,0,0,GUROBI,1,0,0,0
10,None,16,2683.891713,2683.891713,2683.891713,3083.662721,3087.000000,3087.000000,0.000002,0.849165,1.164262,1.167624,110,1182,3600.000000,0,0,0,GUROBI,1,0,0,0
