instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,New,4,5480.606156,5597.724281,5560.973364,6667.872145,6946.713383,100000000000000007629769841091887003294964970946560.000000,0.820660,1.424660,0.820660,300.840660,24208,321883,300.000000,4,4,CBC,1
1,New,4,5149.418707,5272.321647,5200.488592,6533.597438,6723.486679,6820.000000,0.960616,3.904616,301.004616,301.044616,18138,270249,300.000000,4,6,CBC,1
2,New,4,5093.513216,5252.670495,5208.567970,6328.275401,6650.042685,7271.000000,0.794133,3.418133,300.846133,300.874133,17384,274042,300.000000,4,5,CBC,1
3,New,4,5539.566975,5646.569607,5643.914716,6674.613711,6966.280735,7039.000000,0.937966,2.933966,300.997966,301.025966,20742,317159,300.000000,4,7,CBC,1
4,New,4,5370.525120,5486.734335,5444.061823,6197.858296,6652.607843,7430.000000,2.146215,2.534215,302.214215,302.226215,18440,228659,300.000000,4,20,CBC,1
5,New,4,4370.450780,4561.879019,4442.821702,5636.471158,6045.764879,6139.000000,0.609804,2.201804,300.669804,300.689804,20072,313356,300.000000,4,4,CBC,1
6,New,4,5230.603740,5394.057720,5345.970678,6442.601950,6615.327247,6917.000000,2.696694,3.480694,302.744694,302.756694,16538,250351,300.000000,4,29,CBC,1
7,New,4,5167.435953,5311.291808,5268.168575,6531.261389,6748.131001,7328.000000,2.230803,5.178803,302.294803,302.330803,16524,226900,300.000000,4,22,CBC,1
8,New,4,4905.804183,5047.984288,4985.513621,6155.219024,6155.219024,7022.000000,3.225955,3.605955,303.297955,303.313955,14574,182398,300.000000,4,33,CBC,1
9,New,4,5393.307142,5557.598304,5545.793508,6690.618020,6975.292164,7050.000000,0.991371,3.327371,301.027371,301.055371,17717,281578,300.000000,4,7,CBC,1
10,New,4,5163.629379,5245.715616,5209.587729,6380.151799,6587.862164,7239.000000,2.216222,4.952222,302.296222,302.332222,19747,235061,300.000000,4,23,CBC,1
