instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,New,64,5480.606156,5873.853468,5818.536781,6726.468034,6759.875842,100000000000000007629769841091887003294964970946560.000000,104.256321,109.656321,104.256321,300.028321,7254,77341,300.000000,64,46,CBC,1
1,Farkas,64,5491.508583,5887.412714,5815.969732,7863.702035,8261.000000,8261.000000,1.513355,3.157355,127.141355,127.169355,12340,176178,300.000000,64,46,CBC,1
2,Farkas,64,5507.323915,5901.573107,5832.355630,7668.396269,7669.002434,8383.000000,1.600975,6.208975,300.032975,300.068975,10249,96423,300.000000,64,46,CBC,1
3,Farkas,64,5510.508896,5902.132026,5828.998627,7901.519795,8100.000000,8100.000000,1.562602,3.466602,91.450602,91.474602,8346,112909,300.000000,64,46,CBC,1
4,Farkas,64,5491.263293,5894.468134,5814.376177,7770.299995,7973.576240,8161.000000,1.646412,3.310412,300.074412,300.102412,20081,287904,300.000000,64,46,CBC,1
5,Farkas,64,5475.066564,5890.317944,5789.416554,7178.038910,7568.000000,7568.000000,1.570621,2.558621,79.074621,79.094621,7146,104284,300.000000,64,46,CBC,1
6,Farkas,64,5502.151537,5895.636200,5829.175899,7199.542185,7199.542185,7865.000000,1.526693,4.770693,300.042693,300.066693,8662,106450,300.000000,64,46,CBC,1
7,Farkas,64,5508.285455,5894.956571,5827.595204,7505.807032,7840.000000,7840.000000,1.512679,3.656679,149.112679,149.144679,14733,203612,300.000000,64,46,CBC,1
8,Farkas,64,5476.896634,5867.710673,5806.894611,7084.287993,7084.287993,7654.000000,1.546246,2.634246,300.030246,300.050246,9634,114817,300.000000,64,46,CBC,1
9,Farkas,64,5489.461607,5881.281431,5817.692380,7394.220672,7693.939752,7952.000000,1.635438,4.211438,300.067438,300.111438,19898,253275,300.000000,64,46,CBC,1
10,Farkas,64,5490.232462,5887.059018,5814.675055,6874.385757,6875.013812,7907.000000,1.651364,6.831364,300.039364,300.087364,10676,100161,300.000000,64,46,CBC,1
