instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,None,16,5480.606156,5480.606156,5480.606156,7195.826538,7349.479167,7350.000000,0.000024,0.219239,0.879984,0.913451,650,8890,3600.000000,0,0,0,GUROBI,1,0,0,0
1,None,16,5527.398958,5527.398958,5527.398958,11616.703990,11743.000000,11743.000000,0.000003,0.096799,0.110639,0.129984,39,815,3600.000000,0,0,0,GUROBI,1,0,0,0
2,None,16,5551.254885,5551.254885,5551.254885,10892.658398,10894.000000,10894.000000,0.000004,0.050597,0.051522,0.052007,4,214,3600.000000,0,0,0,GUROBI,1,0,0,0
3,None,16,5462.055757,5462.055757,5462.055757,10558.878094,10596.000000,10596.000000,0.000002,0.051109,0.053136,0.054756,7,225,3600.000000,0,0,0,GUROBI,1,0,0,0
4,None,16,5453.728212,5453.728212,5453.728212,8664.281021,8786.000000,8786.000000,0.000002,0.062463,0.075396,0.079395,22,368,3600.000000,0,0,0,GUROBI,1,0,0,0
5,None,16,5634.919056,5634.919056,5634.919056,10788.038694,10859.000000,10859.000000,0.000003,0.051073,0.063307,0.064133,25,355,3600.000000,0,0,0,GUROBI,1,0,0,0
6,None,16,5499.079610,5499.079610,5499.079610,10037.647980,10189.000000,10189.000000,0.000002,0.087746,0.151753,0.164783,107,1266,3600.000000,0,0,0,GUROBI,1,0,0,0
7,None,16,5595.381371,5595.381371,5595.381371,11447.944760,11573.000000,11573.000000,0.000002,0.095088,0.101544,0.109125,16,487,3600.000000,0,0,0,GUROBI,1,0,0,0
8,None,16,5506.954302,5506.954302,5506.954302,11403.697928,11450.000000,11450.000000,0.000002,0.046970,0.062940,0.063859,30,346,3600.000000,0,0,0,GUROBI,1,0,0,0
9,None,16,5560.211413,5560.211413,5560.211413,10328.964184,10391.000000,10391.000000,0.000002,0.082179,0.114211,0.114599,53,738,3600.000000,0,0,0,GUROBI,1,0,0,0
10,None,16,5570.474946,5570.474946,5570.474946,9668.005112,9729.000000,9729.000000,0.000001,0.101811,0.116775,0.121484,32,521,3600.000000,0,0,0,GUROBI,1,0,0,0
