instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,None,64,5480.606156,5480.606156,5480.606156,6694.668860,6879.469804,100000000000000007629769841091887003294964970946560.000000,0.013802,2.225802,0.013802,300.061802,12979,263792,300.000000,0,0,CBC,1
1,None,64,5533.369743,5533.369743,5533.369743,8673.955577,8977.000000,8977.000000,0.001885,1.769885,56.381885,56.413885,4057,68038,300.000000,0,0,CBC,1
2,None,64,5567.932478,5567.932478,5567.932478,8717.531440,9071.767740,9178.000000,0.001919,2.209919,300.041919,300.069919,17980,323818,300.000000,0,0,CBC,1
3,None,64,5589.726808,5589.726808,5589.726808,9133.764554,9498.000000,9498.000000,0.001903,1.549903,118.729903,118.757903,7196,155552,300.000000,0,0,CBC,1
4,None,64,5533.748235,5533.748235,5533.748235,10210.949984,10533.000000,10533.000000,0.001901,1.633901,36.577901,36.597901,2545,43251,300.000000,0,0,CBC,1
5,None,64,5613.453858,5613.453858,5613.453858,9716.460821,9906.000000,9906.000000,0.001911,1.501911,35.265911,35.293911,2982,42583,300.000000,0,0,CBC,1
6,None,64,5763.231226,5763.231226,5763.231226,12126.483525,12143.000000,12143.000000,0.001911,0.525911,1.841911,1.845911,134,1587,300.000000,0,0,CBC,1
7,None,64,5531.896976,5531.896976,5531.896976,8545.316897,8792.000000,8792.000000,0.001874,0.305874,7.293874,7.305874,681,9120,300.000000,0,0,CBC,1
8,None,64,5552.665138,5552.665138,5552.665138,10114.765160,10174.000000,10174.000000,0.001903,1.297903,12.789903,12.805903,745,13172,300.000000,0,0,CBC,1
9,None,64,5600.534044,5600.534044,5600.534044,10492.674041,10547.000000,10547.000000,0.001876,1.121876,2.557876,2.569876,111,2601,300.000000,0,0,CBC,1
10,None,64,5787.387796,5787.387796,5787.387796,11241.711914,11363.000000,11363.000000,0.001921,1.233921,3.989921,4.001921,232,4400,300.000000,0,0,CBC,1
