instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,New,16,2748.345238,3464.773810,2920.845238,6625.706121,6838.643841,100000000000000007629769841091887003294964970946560.000000,1.803289,4.039289,1.803289,301.863289,34251,381330,300.000000,16,2,CBC,1
1,Old,16,2519.798808,2914.984583,2729.247494,5860.418725,6125.000000,6125.000000,0.530178,0.942178,166.854178,166.862178,25321,180642,300.000000,16,12,CBC,1
2,Old,16,2719.883289,3397.085670,2995.372174,6506.946548,6815.552809,6857.500000,0.390639,1.846639,300.458639,300.474639,28597,342788,300.000000,16,3,CBC,1
3,Old,16,2609.016888,3275.219126,2849.331802,6342.293231,6721.333333,6721.333333,0.410875,0.658875,288.130875,288.134875,34736,338520,300.000000,16,5,CBC,1
4,Old,16,1922.376086,2309.952572,2122.468243,4958.698768,4991.666667,4991.666667,0.341787,1.337787,3.881787,3.889787,460,3395,300.000000,16,5,CBC,1
5,Old,16,2916.133559,3374.276709,3094.961233,6356.889156,6588.976755,7190.000000,0.490785,2.230785,300.602785,300.622785,23666,281852,300.000000,16,4,CBC,1
6,Old,16,2816.832138,3304.262118,3002.362877,6404.066445,6580.522881,6630.000000,0.394547,2.390547,300.470547,300.494547,32168,295456,300.000000,16,4,CBC,1
7,Old,16,2729.610063,3436.476969,3004.314104,6747.734057,7052.955343,7500.000000,0.422207,2.282207,300.546207,300.570207,23955,262187,300.000000,16,3,CBC,1
8,Old,16,2646.251404,2806.251404,2747.253898,5916.386847,6008.666667,6008.666667,0.338495,0.526495,5.150495,5.154495,830,4419,300.000000,16,3,CBC,1
9,Old,16,2548.222576,3056.999821,2876.349429,6158.390593,6495.000000,6495.000000,0.397009,0.813009,271.633009,271.641009,34300,323556,300.000000,16,3,CBC,1
10,Old,16,2816.995880,3285.885318,3069.650955,6510.879668,6710.000000,6710.000000,0.406798,1.686798,93.270798,93.282798,12423,100773,300.000000,16,3,CBC,1
