instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,16,2748.345238,3464.773810,2920.845238,7075.207601,7350.000000,7350.000000,1.389137,1.608820,2.346391,2.668819,910,13080,3600.000000,16,2,52,GUROBI,1
1,Farkas,16,2750.213095,3462.677381,2923.101036,7883.835258,8087.000000,8087.000000,0.040930,0.145594,0.297156,0.371180,294,3395,3600.000000,16,2,0,GUROBI,1
2,Farkas,16,2776.447619,3492.869048,2944.875560,8287.878211,8495.000000,8495.000000,0.046202,0.119462,0.162058,0.188144,138,1264,3600.000000,16,2,0,GUROBI,1
3,Farkas,16,2754.800000,3464.532143,2926.235000,7556.833404,7817.000000,7817.000000,0.035481,0.132157,0.256298,0.372383,256,3223,3600.000000,16,2,0,GUROBI,1
4,Farkas,16,2773.304762,3485.233333,2948.054762,8617.022088,8890.310901,8891.000000,0.034794,0.121454,0.325690,0.349430,287,3279,3600.000000,16,2,0,GUROBI,1
5,Farkas,16,2773.697619,3490.626190,2946.197619,9041.560117,9340.873385,9341.000000,0.041010,0.118376,0.372971,0.515401,529,5844,3600.000000,16,2,0,GUROBI,1
6,Farkas,16,2775.247619,3494.104762,2947.983333,10092.325488,10159.000000,10159.000000,0.047148,0.112924,0.123789,0.129234,24,430,3600.000000,16,2,0,GUROBI,1
7,Farkas,16,2740.279762,3458.065476,2916.529762,8596.280386,8787.610101,8788.000000,0.035727,0.126021,0.202747,0.450277,485,5055,3600.000000,16,2,0,GUROBI,1
8,Farkas,16,2718.454762,3436.990476,2897.429762,8652.824672,8768.000000,8768.000000,0.040689,0.172637,0.266328,0.309138,76,1081,3600.000000,16,2,0,GUROBI,1
9,Farkas,16,2707.826190,3425.747619,2877.874132,10593.187973,10645.000000,10645.000000,0.043108,0.129843,0.136361,0.140261,14,315,3600.000000,16,2,0,GUROBI,1
10,Farkas,16,2738.058333,3446.665476,2910.558333,8239.863124,8382.000000,8382.000000,0.039195,0.127934,0.183330,0.275209,192,2366,3600.000000,16,2,0,GUROBI,1
