instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,New,16,14274.102667,14429.857863,14287.962466,15712.133077,15712.133077,100000000000000007629769841091887003294964970946560.000000,475.129890,478.309890,475.129890,775.161890,3238,92089,300.000000,43,47,CBC,1
1,Farkas,16,14500.783853,14660.415731,14500.783853,16412.278801,16412.278801,19026.111181,9.472428,13.664428,309.524428,309.540428,2969,145768,300.000000,43,47,CBC,1
2,Farkas,16,10614.988825,10735.388469,10614.988825,14865.290883,14935.980694,33835.641658,16.272423,22.992423,316.348423,316.368423,2159,97783,300.000000,43,47,CBC,1
3,Farkas,16,16897.874010,17066.480898,16897.874010,21516.119177,21517.717831,33858.870269,11.714408,15.010408,311.762408,311.778408,2067,96631,300.000000,43,47,CBC,1
4,Farkas,16,14142.568336,14401.959888,14142.568336,16558.247543,16559.768934,34449.205494,9.882423,12.106423,310.006423,310.022423,2117,107459,300.000000,43,47,CBC,1
5,Farkas,16,12572.277262,12813.203978,12572.277262,26082.262636,26228.452035,100000000000000007629769841091887003294964970946560.000000,18.088669,31.272669,18.088669,318.192669,5147,122230,300.000000,43,47,CBC,1
6,Farkas,16,12205.779474,12278.909063,12205.779474,17765.098655,17771.558575,39796.816454,12.699902,19.739902,312.795902,312.811902,1712,105179,300.000000,43,47,CBC,1
7,Farkas,16,17570.585259,17785.720394,17570.585259,21835.348459,21838.256187,23831.524135,10.838630,13.506630,310.858630,310.870630,1795,130586,300.000000,43,47,CBC,1
8,Farkas,16,15727.255858,15729.439915,15727.255858,23113.486036,23124.607440,100000000000000007629769841091887003294964970946560.000000,14.059844,20.971844,14.059844,314.111844,5557,129532,300.000000,43,47,CBC,1
9,Farkas,16,14339.829121,14501.183589,14339.829121,16184.742864,16184.742864,16650.989545,9.141609,14.085609,309.165609,309.177609,2393,123382,300.000000,43,47,CBC,1
