instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,New,4,14274.102667,14279.427542,14274.234119,15735.278055,15735.278055,100000000000000007629769841091887003294964970946560.000000,42.176444,45.192444,42.176444,342.300444,2588,96687,300.000000,4,47,CBC,1
1,Farkas,4,14921.106823,14927.226180,14921.106823,20579.260886,20579.471537,40785.984411,1.667237,5.807237,301.731237,301.743237,2958,118457,300.000000,4,47,CBC,1
2,Farkas,4,15369.540618,15394.396196,15369.540618,19977.379792,19977.379792,40270.489780,1.351203,6.011203,301.411203,301.423203,4607,153495,300.000000,4,47,CBC,1
3,Farkas,4,16080.355865,16080.355865,16080.355865,28081.416211,28097.647738,100000000000000007629769841091887003294964970946560.000000,1.504035,9.964035,1.504035,301.584035,4129,145959,300.000000,4,47,CBC,1
4,Farkas,4,12896.405092,12896.405092,12896.405092,15853.012363,15875.020082,47018.322504,1.577704,5.213704,301.637704,301.653704,2540,96171,300.000000,4,47,CBC,1
5,Farkas,4,12352.145587,12352.145587,12352.145587,20737.139444,20757.713494,100000000000000007629769841091887003294964970946560.000000,1.757754,13.205754,1.757754,301.801754,7841,126471,300.000000,4,47,CBC,1
6,Farkas,4,12278.963620,12279.145770,12278.963620,19173.763230,19255.283130,100000000000000007629769841091887003294964970946560.000000,1.784022,13.260022,1.784022,301.832022,7831,139115,300.000000,4,47,CBC,1
7,Farkas,4,10048.149740,10048.149740,10048.149740,25874.649110,25884.811770,100000000000000007629769841091887003294964970946560.000000,2.064274,12.592274,2.064274,302.112274,5430,107134,300.000000,4,47,CBC,1
8,Farkas,4,12053.116062,12057.418561,12053.116062,17196.436673,17202.412125,100000000000000007629769841091887003294964970946560.000000,1.540922,6.928922,1.540922,301.596922,4768,149530,300.000000,4,47,CBC,1
9,Farkas,4,13342.279018,13342.279018,13342.279018,18569.775382,18585.828042,29515.627040,1.458917,5.966917,301.542917,301.562917,5344,139673,300.000000,4,47,CBC,1
10,Farkas,4,14333.304180,14333.304180,14333.304180,19802.640556,19802.696696,100000000000000007629769841091887003294964970946560.000000,1.341283,9.905283,1.341283,301.373283,4779,133432,300.000000,4,47,CBC,1
