instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,New,4,14274.102667,14279.427542,14277.756365,15771.847217,16029.692681,16029.692681,3.829805,4.729477,4.996232,5.005612,38,4129,3600.000000,4,47,47,GUROBI,1,0,0,0
1,New,4,14267.689853,14274.315324,14273.169314,15716.865313,15936.892681,15936.892681,2.799526,3.933599,4.249845,4.250028,38,4892,3600.000000,4,51,51,GUROBI,1,2,0,0
2,New,4,14252.494194,14258.697173,14256.975636,15724.661114,16029.692681,16029.692681,4.140376,5.249117,5.600496,5.600686,35,4154,3600.000000,4,52,52,GUROBI,1,1,0,0
3,New,4,14385.894170,14389.961590,14389.961590,15635.154536,15758.530681,15758.530681,2.439958,3.178560,3.211689,3.211878,4,2433,3600.000000,5,46,52,GUROBI,1,3,0,0
4,New,4,14632.871475,14636.860445,14636.860445,15873.207905,16644.548000,16644.548000,2.755683,3.538832,3.893979,4.137043,86,6411,3600.000000,5,45,45,GUROBI,1,3,0,0
5,New,4,14167.822597,14259.990949,14258.906641,15564.712336,15783.382681,15783.382681,3.680863,4.450145,4.677540,4.677735,56,3404,3600.000000,4,49,49,GUROBI,1,1,0,0
6,New,4,14274.102667,14278.084046,14278.084046,15654.778596,16029.692681,16029.692681,2.281438,3.083371,3.255455,3.265715,30,3530,3600.000000,4,47,47,GUROBI,1,2,0,0
7,New,4,14274.102667,14278.084046,14278.084046,15631.945866,16029.692681,16029.692681,2.753130,3.506275,3.697877,3.734774,47,3577,3600.000000,5,47,47,GUROBI,1,3,0,0
8,New,4,14300.366181,14358.675366,14356.999275,15626.552431,16029.692681,16029.692681,3.143230,3.906691,4.065533,4.073071,27,3340,3600.000000,5,43,43,GUROBI,1,3,0,0
9,New,4,14158.424234,14160.095207,14160.095207,15093.825695,15315.491500,15315.491500,1.956943,2.532354,2.666981,2.671204,27,2524,3600.000000,5,44,44,GUROBI,1,3,0,0
10,New,4,14274.102667,14279.427542,14274.115504,15722.948861,16029.692681,16029.692681,3.880665,4.654693,5.043381,5.043574,42,3723,3600.000000,4,47,47,GUROBI,1,0,0,0
