instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,16,14274.102667,14320.402490,14282.097569,15722.543277,16029.692681,16029.692681,25.128692,25.889820,26.058033,26.069314,31,3174,3600.000000,21,47,47,GUROBI,1
1,Old,16,13945.311740,14016.926995,13995.536451,15769.923497,16218.532000,16218.532000,30.861097,31.602762,31.723463,31.802232,38,3572,3600.000000,21,47,0,GUROBI,1
2,Old,16,14372.987459,14421.616053,14419.711785,15386.448753,16338.929954,16338.929954,36.516229,37.364995,37.878487,37.878675,73,5544,3600.000000,21,54,0,GUROBI,1
3,Old,16,18688.032124,18733.151879,18733.151879,21195.584653,21753.930181,21753.930181,18.113380,18.777866,19.175169,19.175356,66,3919,3600.000000,21,45,0,GUROBI,1
5,Old,16,14178.956583,14226.103368,14226.103368,15452.474512,15659.616181,15659.616181,26.421249,27.164400,27.204680,27.225343,13,2650,3600.000000,21,44,0,GUROBI,1
6,Old,16,15124.284549,15172.260412,15170.667627,16860.388420,17082.576203,17083.928181,29.984260,30.885907,31.085928,31.095953,33,3897,3600.000000,21,46,0,GUROBI,1
7,Old,16,14417.188496,14465.323544,14457.504597,15977.866808,16324.556500,16324.556500,28.225393,29.411343,29.611482,29.624041,44,4644,3600.000000,21,41,0,GUROBI,1
8,Old,16,14387.990695,14441.347240,14441.060534,15996.808743,16371.330046,16371.330046,47.681153,48.568771,48.744643,48.759131,36,3683,3600.000000,21,64,0,GUROBI,1
9,Old,16,14199.938888,14288.801653,14288.801653,16044.885665,16293.049046,16293.049046,36.818150,37.620832,37.792394,37.797057,33,3201,3600.000000,21,49,0,GUROBI,1
10,Old,16,14276.253629,14310.819305,14309.274828,15588.635753,16137.225681,16137.225681,41.958385,42.719983,43.030445,43.030631,44,3819,3600.000000,21,56,0,GUROBI,1
