instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,New,4,28928379.620260,29421385.257225,28928379.620260,29544684.251028,30356760.984149,30356760.984149,75.235354,75.951354,91.855354,92.243354,30,4097,300.000000,4,10,CBC,1
1,Old,4,28914105.573355,29405302.370794,28914105.573355,29529980.252801,30342720.533871,30342720.533871,78.565604,79.437604,88.153604,88.521604,20,2247,300.000000,4,11,CBC,1
2,Old,4,28938093.366937,29426189.547641,28938093.366937,29551973.095508,30362640.316778,30362640.316778,86.121061,87.513061,98.369061,98.677061,24,3029,300.000000,4,13,CBC,1
3,Old,4,28905674.312002,29397159.086240,28905674.312002,29519976.523541,30329951.983561,30329951.983561,79.285020,80.629020,96.033020,96.405020,31,2859,300.000000,4,2,CBC,1
4,Old,4,28915359.361769,29409149.384673,28915359.361769,29532453.735730,30345302.678239,30345302.678239,67.983998,69.587998,81.007998,81.375998,24,2737,300.000000,4,9,CBC,1
5,Old,4,28957547.689411,29452831.428975,28957547.689411,29571298.614622,30386286.324467,30386286.324467,89.574420,91.118420,102.102420,102.326420,28,2235,300.000000,4,2,CBC,1
6,Old,4,28917954.789884,29411794.237933,28917954.789884,29535232.744612,30349933.406188,30349933.406188,74.220323,75.752323,88.936323,89.344323,28,3008,300.000000,4,11,CBC,1
7,Old,4,28904076.645095,29403712.533508,28912501.773638,29538494.986115,30337424.745991,30337424.745991,68.583198,69.827198,88.183198,88.479198,20,4095,300.000000,4,9,CBC,1
9,Old,4,28959686.583429,29452311.209748,28959686.583429,29574934.025718,30389587.283477,30389587.283477,83.208209,84.336209,94.108209,94.496209,22,2345,300.000000,4,6,CBC,1
10,Old,4,28884727.419825,29380799.881523,28884727.419825,29505340.722370,30316294.677776,30316294.677776,68.776751,70.104751,80.056751,80.464751,22,2689,300.000000,4,6,CBC,1
