instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,None,16,981.864286,981.864286,981.864286,990.816270,1077.460000,1077.560000,0.000022,0.909854,17.000742,17.284371,9963,169281,3600.000000,0,0,0,GUROBI,1,0,0,0
1,None,16,968.206001,968.206001,968.206001,977.804574,1055.124502,1055.190000,0.000003,0.608953,31.288940,40.088409,11975,359000,3600.000000,0,0,0,GUROBI,1,0,0,0
2,None,16,977.692270,977.692270,977.692270,986.712625,1073.624157,1073.730000,0.000003,0.424466,38.250154,49.734113,15452,472898,3600.000000,0,0,0,GUROBI,1,0,0,0
3,None,16,970.830536,970.830536,970.830536,981.883666,1061.095340,1061.190000,0.000002,0.653175,34.288519,50.612490,15371,506057,3600.000000,0,0,0,GUROBI,1,0,0,0
4,None,16,970.711416,970.711416,970.711416,983.046734,1068.673093,1068.730000,0.000002,0.581917,22.409061,29.745267,9531,264898,3600.000000,0,0,0,GUROBI,1,0,0,0
5,None,16,967.923205,967.923205,967.923205,978.017180,1066.155160,1066.190000,0.000002,0.373871,24.510876,48.942792,17341,431456,3600.000000,0,0,0,GUROBI,1,0,0,0
6,None,16,955.179947,955.179947,955.179947,970.627514,1062.084841,1062.190000,0.000004,0.609548,68.562538,75.597922,25649,665829,3600.000000,0,0,0,GUROBI,1,0,0,0
7,None,16,967.310996,967.310996,967.310996,978.776590,1056.108297,1056.190000,0.000003,0.458028,20.030976,26.050917,7638,229748,3600.000000,0,0,0,GUROBI,1,0,0,0
8,None,16,981.172857,981.172857,981.172857,986.835015,1075.138026,1075.190000,0.000002,0.347405,69.678247,69.678375,19179,556570,3600.000000,0,0,0,GUROBI,1,0,0,0
9,None,16,977.458571,977.458571,977.458571,984.998914,1072.498292,1072.560000,0.000003,0.445775,24.736090,37.743008,11979,361038,3600.000000,0,0,0,GUROBI,1,0,0,0
10,None,16,960.327825,960.327825,960.327825,976.367165,1060.468875,1060.560000,0.000003,0.413919,33.162881,33.619304,12856,323738,3600.000000,0,0,0,GUROBI,1,0,0,0
