instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,New,4,981.864286,987.624578,984.771976,997.937133,1077.550000,1077.560000,3.165789,3.766436,13.317787,13.694831,1655,63189,3600.000000,4,42,42,GUROBI,1,0,0,0
1,Old,4,945.076488,947.459389,947.459389,957.672089,1019.088449,1019.190000,1.131835,1.635848,102.971505,102.971634,17645,520556,3600.000000,4,33,0,GUROBI,1,0,0,0
2,Old,4,946.170780,950.692310,947.865732,963.724601,1030.429922,1030.510000,1.199051,1.835626,25.050904,27.977954,9129,229743,3600.000000,4,34,0,GUROBI,1,0,0,0
3,Old,4,936.130576,939.885036,938.684614,956.870582,1019.280000,1019.280000,1.315162,1.912357,21.423388,23.825406,6409,184901,3600.000000,4,39,0,GUROBI,1,0,0,0
4,Old,4,940.315549,941.964410,941.821328,950.507609,1023.296413,1023.390000,1.075143,1.549067,20.520833,44.638018,14738,351058,3600.000000,4,37,0,GUROBI,1,0,0,0
5,Old,4,951.318666,954.441710,953.608081,962.706141,1023.146737,1023.190000,0.889999,1.264519,36.015643,40.038646,11464,304953,3600.000000,4,30,0,GUROBI,1,0,0,0
6,Old,4,922.744256,924.404814,924.404814,932.970287,1002.329330,1002.420000,1.177164,1.597141,24.116286,24.562231,9438,215506,3600.000000,4,32,0,GUROBI,1,0,0,0
7,Old,4,933.860529,937.625775,936.563699,953.396155,1025.790867,1025.880000,0.866022,1.957474,80.118377,84.476012,19264,496477,3600.000000,4,34,0,GUROBI,1,0,0,0
8,Old,4,954.876986,959.676431,958.638169,964.135590,1042.352915,1042.440000,1.058533,1.468425,19.383758,20.619689,7070,173074,3600.000000,4,34,0,GUROBI,1,0,0,0
9,Old,4,931.961495,933.007550,932.937639,942.417886,1013.370681,1013.460000,1.054413,1.503347,24.598063,28.917333,8669,252086,3600.000000,4,30,0,GUROBI,1,0,0,0
10,Old,4,932.552170,935.977975,934.899516,950.738658,1007.330522,1007.420000,1.010442,1.493062,27.160462,27.160585,7440,187822,3600.000000,4,41,0,GUROBI,1,0,0,0
