instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,New,64,981.864286,997.570599,997.474301,997.470185,1077.500000,1077.560000,202.399414,202.747227,212.121044,212.683331,2474,71474,3600.000000,66,35,42,GUROBI,1,27,0,0
1,Farkas,64,825.159604,835.406632,825.159604,854.287243,916.739557,916.820000,1.219637,2.062834,34.673410,34.977533,12723,289148,3600.000000,66,35,0,GUROBI,1,27,0,0
2,Farkas,64,862.862237,881.673380,862.862237,894.964415,960.105447,960.190000,1.230951,1.711291,19.756724,22.283466,4977,153759,3600.000000,66,35,0,GUROBI,1,27,0,0
3,Farkas,64,822.547894,835.000103,822.547894,854.487666,941.339989,941.430000,1.237827,1.696558,104.597933,105.339551,20788,613820,3600.000000,66,35,0,GUROBI,1,27,0,0
4,Farkas,64,869.064661,875.745775,869.064661,886.305479,942.990000,942.990000,1.275684,1.800294,17.589826,19.954594,6322,145731,3600.000000,66,35,0,GUROBI,1,27,0,0
5,Farkas,64,849.395374,867.654928,849.395374,876.681471,946.526990,946.620000,1.217878,2.212188,113.776383,117.178603,20066,682155,3600.000000,66,35,0,GUROBI,1,27,0,0
6,Farkas,64,874.525753,884.044384,874.525753,896.241064,962.530845,962.620000,1.224202,1.716878,23.121513,23.667888,8294,191019,3600.000000,66,35,0,GUROBI,1,27,0,0
7,Farkas,64,849.232529,857.173516,849.232529,869.612965,940.014524,940.100000,1.231294,1.776978,41.652270,41.652401,12463,360107,3600.000000,66,35,0,GUROBI,1,27,0,0
8,Farkas,64,816.216880,820.638448,816.216880,841.641302,902.592961,902.660000,1.281017,1.991778,18.849285,19.969198,6483,147355,3600.000000,66,35,0,GUROBI,1,27,0,0
9,Farkas,64,890.322985,899.139563,890.322985,916.536606,974.424902,974.510000,1.176799,1.725300,25.024333,25.084893,6720,194909,3600.000000,66,35,0,GUROBI,1,27,0,0
10,Farkas,64,845.750690,850.061226,845.750690,872.303741,920.928235,921.020000,1.206595,1.773352,15.735299,15.876832,4991,118663,3600.000000,66,35,0,GUROBI,1,27,0,0
