instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,New,16,32007.729870,32153.637271,32144.332271,50445.630686,50448.168214,100000000000000007629769841091887003294964970946560.000000,13.868060,21.252060,13.868060,313.968060,12657,101887,300.000000,16,17,CBC,1
1,Old,16,29056.500896,29112.699346,29112.699346,49612.309359,49623.675870,70636.000000,4.502203,14.898203,304.526203,304.566203,10750,31395,300.000000,16,107,CBC,1
2,Old,16,25744.158729,25945.465480,25897.322791,46092.094280,46144.278012,56502.208333,1.775313,6.655313,301.863313,301.883313,14924,91586,300.000000,16,3,CBC,1
3,Old,16,24899.031075,25480.607575,25253.378419,46287.989609,46353.605679,56010.645833,1.733869,6.393869,301.793869,301.813869,13576,74436,300.000000,16,2,CBC,1
4,Old,16,28484.065970,28981.950933,28887.061592,49668.660330,49673.771611,60368.625000,1.713219,7.953219,301.797219,301.837219,14001,79535,300.000000,16,8,CBC,1
5,Old,16,31990.294031,32126.642261,32113.412424,50760.967876,50763.646661,74628.583333,1.879689,9.143689,301.943689,302.003689,13047,82227,300.000000,16,9,CBC,1
6,Old,16,28450.432202,28579.303085,28579.303085,48914.740258,48924.994837,72422.479167,1.857549,8.457549,301.921549,301.949549,12455,73475,300.000000,16,19,CBC,1
7,Old,16,30076.260296,30186.169849,30173.161572,50093.736297,50095.243737,79021.375000,2.905721,10.489721,302.977721,303.017721,12421,53243,300.000000,16,36,CBC,1
8,Old,16,27897.683321,27962.886417,27962.509567,47778.900787,47784.135689,58234.437500,4.489121,13.633121,304.525121,304.557121,11226,41209,300.000000,16,85,CBC,1
9,Old,16,28086.481316,28328.652950,28267.977390,50228.759897,50237.563598,74809.750000,1.954759,8.430759,302.026759,302.062759,13775,73990,300.000000,16,10,CBC,1
