instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,None,16,35118.109848,35118.109848,35118.109848,54517.939301,54537.260315,54537.750000,0.000015,0.104357,0.154846,0.155464,46,804,3600.000000,0,0,0,GUROBI,1,0,0,0
1,None,16,31995.269861,31995.269861,31995.269861,49945.517716,50026.696771,50030.500000,0.000002,0.127289,0.316221,0.316329,154,1509,3600.000000,0,0,0,GUROBI,1,0,0,0
2,None,16,34016.059123,34016.059123,34016.059123,52787.774436,52803.899436,52808.250000,0.000003,0.260269,0.286589,0.303259,24,893,3600.000000,0,0,0,GUROBI,1,0,0,0
3,None,16,31972.456792,31972.456792,31972.456792,50669.688454,50822.500000,50822.500000,0.000003,0.115655,0.331225,0.370013,197,1961,3600.000000,0,0,0,GUROBI,1,0,0,0
4,None,16,33841.420020,33841.420020,33841.420020,52114.532065,52155.596820,52158.500000,0.000004,0.129868,0.160195,0.160713,25,745,3600.000000,0,0,0,GUROBI,1,0,0,0
5,None,16,33445.212147,33445.212147,33445.212147,51261.125782,51276.765154,51281.500000,0.000003,0.132097,0.254705,0.255494,62,1025,3600.000000,0,0,0,GUROBI,1,0,0,0
6,None,16,34452.652598,34452.652598,34452.652598,53364.954095,53378.677287,53384.000000,0.000004,0.127367,0.283217,0.293504,126,1141,3600.000000,0,0,0,GUROBI,1,0,0,0
7,None,16,34620.937740,34620.937740,34620.937740,52694.483238,52735.308068,52739.750000,0.000001,0.118430,0.294966,0.365995,239,1737,3600.000000,0,0,0,GUROBI,1,0,0,0
8,None,16,34395.036925,34395.036925,34395.036925,53019.549324,53041.506930,53045.000000,0.000004,0.111995,0.216409,0.228361,82,1025,3600.000000,0,0,0,GUROBI,1,0,0,0
9,None,16,35008.040632,35008.040632,35008.040632,53752.283201,53771.006159,53771.500000,0.000001,0.128430,0.131822,0.132563,5,716,3600.000000,0,0,0,GUROBI,1,0,0,0
10,None,16,33442.799772,33442.799772,33442.799772,51295.416667,51329.467391,51330.750000,0.000003,0.111033,0.122836,0.124425,11,645,3600.000000,0,0,0,GUROBI,1,0,0,0
