instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,New,4,35118.109848,35144.372388,35144.077020,54517.939301,54533.201299,54537.750000,0.420049,0.640903,0.724296,0.728190,49,827,3600.000000,4,6,129,GUROBI,1,0,0,0
1,Farkas,4,31995.269861,32029.937921,32029.937921,49953.957340,50027.953331,50030.500000,0.022691,0.180907,0.358526,0.358643,86,1140,3600.000000,4,6,0,GUROBI,1,0,0,0
2,Farkas,4,34016.059123,34026.532732,34016.059123,52786.746658,52807.405110,52808.250000,0.021928,0.321435,0.370445,0.391551,21,829,3600.000000,4,6,0,GUROBI,1,0,0,0
3,Farkas,4,31972.456792,31972.456792,31972.456792,50669.688454,50822.500000,50822.500000,0.023256,0.251342,0.508563,0.665444,157,1655,3600.000000,4,6,0,GUROBI,1,0,0,0
4,Farkas,4,33841.420020,33841.420020,33841.420020,52113.790445,52154.268903,52158.500000,0.022455,0.268603,0.363080,0.365752,44,787,3600.000000,4,6,0,GUROBI,1,0,0,0
5,Farkas,4,33445.212147,33445.212147,33445.212147,51261.125782,51276.765154,51281.500000,0.022229,0.245071,0.351473,0.351583,56,900,3600.000000,4,6,0,GUROBI,1,0,0,0
6,Farkas,4,34452.652598,34466.320660,34452.652598,53365.979342,53379.666435,53384.000000,0.020649,0.193077,0.253202,0.264898,49,892,3600.000000,4,6,0,GUROBI,1,0,0,0
7,Farkas,4,34620.937740,34637.613053,34633.122689,52694.483238,52735.439651,52739.750000,0.020312,0.259964,0.788213,0.836469,289,1974,3600.000000,4,6,0,GUROBI,1,0,0,0
8,Farkas,4,34395.036925,34397.358679,34397.113637,53019.549324,53040.568802,53045.000000,0.022164,0.136107,0.210431,0.230583,67,986,3600.000000,4,6,0,GUROBI,1,0,0,0
9,Farkas,4,35008.040632,35041.875958,35016.365076,53752.283201,53771.500000,53771.500000,0.022049,0.136167,0.142695,0.143462,6,685,3600.000000,4,6,0,GUROBI,1,0,0,0
10,Farkas,4,33442.799772,33477.288042,33477.288042,51295.416667,51330.750000,51330.750000,0.021762,0.211054,0.232197,0.249342,13,645,3600.000000,4,6,0,GUROBI,1,0,0,0
