instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,None,64,32007.729870,32007.729870,32007.729870,50661.731979,50668.403926,100000000000000007629769841091887003294964970946560.000000,0.003487,6.319487,0.003487,300.039487,11808,128800,300.000000,0,0,CBC,1
1,None,64,32031.379620,32031.379620,32031.379620,65414.503719,65589.683123,70191.750000,0.003407,3.179407,300.067407,300.095407,15028,94601,300.000000,0,0,CBC,1
2,None,64,32112.087118,32112.087118,32112.087118,71132.480063,71393.656144,73730.750000,0.003523,2.943523,300.063523,300.095523,16263,101237,300.000000,0,0,CBC,1
3,None,64,31966.313772,31966.313772,31966.313772,58717.881177,58734.428258,62597.750000,0.003406,3.907406,300.051406,300.099406,12691,102019,300.000000,0,0,CBC,1
4,None,64,32093.962092,32093.962092,32093.962092,60091.863881,60133.489251,67731.500000,0.003435,3.779435,300.095435,300.139435,14009,87911,300.000000,0,0,CBC,1
5,None,64,31983.487844,31983.487844,31983.487844,61224.006709,61251.062315,66958.500000,0.003412,3.263412,300.067412,300.111412,12970,124738,300.000000,0,0,CBC,1
6,None,64,31980.466188,31980.466188,31980.466188,56035.228991,56045.090068,63357.500000,0.003383,4.227383,300.055383,300.107383,14008,96246,300.000000,0,0,CBC,1
7,None,64,32019.004415,32019.004415,32019.004415,53302.048260,53342.707286,75234.000000,0.003461,5.035461,300.103461,300.155461,12418,74040,300.000000,0,0,CBC,1
8,None,64,32053.646389,32053.646389,32053.646389,61365.908806,61402.771038,64591.000000,0.003400,3.843400,300.047400,300.083400,12901,112813,300.000000,0,0,CBC,1
9,None,64,31991.339394,31991.339394,31991.339394,71674.506236,71969.352607,73190.750000,0.003438,1.555438,300.071438,300.095438,15786,77751,300.000000,0,0,CBC,1
10,None,64,31948.206846,31948.206846,31948.206846,55970.117333,55983.753573,75076.500000,0.003448,4.447448,300.155448,300.195448,11669,64874,300.000000,0,0,CBC,1
