instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,New,4,35118.109848,35144.372388,35144.077020,54517.939301,54533.201299,54537.750000,0.242006,0.370643,0.419460,0.423350,49,827,3600.000000,4,6,129,GUROBI,1,0,0,0
1,Farkas,4,35213.319408,35239.373989,35235.247348,78368.413845,78652.900897,78658.250000,0.028483,0.194869,0.201496,0.206035,18,321,3600.000000,4,6,0,GUROBI,1,2,2,0
2,Farkas,4,35127.624069,35153.594163,35151.547173,60093.379576,60243.340702,60249.000000,0.021126,0.230678,0.321718,0.329114,94,1023,3600.000000,4,6,0,GUROBI,1,0,0,0
3,Farkas,4,35510.887230,35543.970286,35533.200791,90270.375204,90418.500000,90418.500000,0.031338,0.101740,0.106083,0.106196,11,278,3600.000000,4,6,0,GUROBI,1,3,3,0
4,Farkas,4,35142.558121,35192.165909,35158.974271,77078.223406,77274.409916,77275.750000,0.022903,0.110995,0.126061,0.126608,24,360,3600.000000,4,6,0,GUROBI,1,0,0,0
5,Farkas,4,35192.962561,35217.267237,35214.516173,69107.312320,69669.437459,69674.000000,0.023112,0.159186,0.238177,0.288525,152,1105,3600.000000,4,6,0,GUROBI,1,0,0,0
6,Farkas,4,35114.378852,35144.415647,35135.194165,72068.935307,72677.750000,72677.750000,0.022827,0.175758,0.354370,0.365250,222,1517,3600.000000,4,6,0,GUROBI,1,0,0,0
7,Farkas,4,35189.322174,35216.081509,35213.413282,67150.249401,67347.354800,67351.750000,0.027516,0.177411,0.459850,0.461624,260,1999,3600.000000,4,6,0,GUROBI,1,2,2,0
8,Farkas,4,35132.966698,35158.801012,35158.119588,56126.867731,56265.905336,56266.500000,0.020842,0.207183,0.220662,0.234416,20,794,3600.000000,4,6,0,GUROBI,1,0,0,0
9,Farkas,4,35522.477349,35569.886340,35547.721613,74172.185796,74749.782803,74756.750000,0.025429,0.162783,0.346699,0.346845,237,1311,3600.000000,4,6,0,GUROBI,1,0,0,0
10,Farkas,4,35017.803433,35038.993612,35036.099179,84244.162274,84575.000000,84575.000000,0.028108,0.123310,0.127226,0.130395,12,366,3600.000000,4,6,0,GUROBI,1,1,1,0
