instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,New,4,862578.643492,866345.914533,866305.636695,873132.800217,878430.316000,878430.316000,0.816759,0.908759,123.948759,123.952759,58322,122287,300.000000,24,3,CBC,1
1,Old,4,857410.347485,865044.229753,861648.440928,887877.234831,906265.316000,906265.316000,0.314071,0.366071,243.074071,243.078071,92232,357395,300.000000,24,3,CBC,1
2,Old,4,850314.180673,853059.781076,851112.646479,859728.514974,865641.846723,865641.846723,0.310068,0.330068,73.558068,73.558068,36340,70730,300.000000,24,3,CBC,1
3,Old,4,852909.722876,858608.907338,857485.182293,867205.119678,872647.316000,872647.316000,0.330347,0.438347,269.734347,269.738347,83586,297490,300.000000,24,7,CBC,1
4,Old,4,862769.403972,872827.918077,863363.053166,883637.781486,887417.098654,889080.068000,0.337428,0.409428,300.249428,300.249428,89946,433297,300.000000,24,6,CBC,1
5,Old,4,825649.725584,826374.069488,826313.080554,830111.218230,834072.468410,834072.468410,0.328832,0.392832,45.100832,45.100832,22298,40002,300.000000,24,7,CBC,1
6,Old,4,861301.940317,863113.179132,863113.179132,869447.610341,873997.597928,873997.597928,0.330928,0.466928,98.578928,98.578928,41148,122918,300.000000,24,4,CBC,1
7,Old,4,857679.580883,863074.321119,858231.220258,870427.887345,876611.316000,876611.316000,0.331570,0.399570,160.471570,160.471570,68515,183496,300.000000,24,4,CBC,1
8,Old,4,866018.854992,872129.384033,872127.221586,882719.777059,888459.316000,888459.316000,0.312432,0.436432,243.140432,243.144432,84451,209753,300.000000,24,7,CBC,1
9,Old,4,864512.381594,871368.119286,871364.311780,886512.060025,893697.316000,893697.316000,0.308906,0.544906,138.272906,138.276906,59368,141134,300.000000,24,6,CBC,1
10,Old,4,835069.272386,836655.687873,836651.287430,841435.927172,845864.143108,845864.143108,0.350767,0.410767,80.134767,80.138767,34230,101905,300.000000,24,4,CBC,1
