instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,None,64,1167185.725592,1167185.725592,1167185.725592,1172911.932583,1201500.000000,1201500.000000,0.003428,0.287428,1.191428,1.195428,570,1439,300.000000,0,0,CBC,1
1,None,64,1164307.120609,1164307.120609,1164307.120609,1169485.337064,1199950.000000,1199950.000000,0.000690,0.048690,0.892690,0.892690,506,1123,300.000000,0,0,CBC,1
2,None,64,1164080.677058,1164080.677058,1164080.677058,1169314.327080,1198502.000000,1198502.000000,0.000279,0.048279,0.564279,0.564279,296,704,300.000000,0,0,CBC,1
3,None,64,1165613.632719,1165613.632719,1165613.632719,1171002.870475,1199981.000000,1199981.000000,0.000276,0.084276,0.780276,0.780276,362,1071,300.000000,0,0,CBC,1
4,None,64,1167141.673075,1167141.673075,1167141.673075,1172484.635388,1200659.000000,1200659.000000,0.000276,0.060276,0.752276,0.752276,418,871,300.000000,0,0,CBC,1
5,None,64,1167324.966214,1167324.966214,1167324.966214,1172645.041958,1201836.000000,1201836.000000,0.000363,0.076363,0.728363,0.728363,388,965,300.000000,0,0,CBC,1
6,None,64,1168770.529693,1168770.529693,1168770.529693,1174203.214568,1203025.000000,1203025.000000,0.000276,0.064276,0.608276,0.608276,298,800,300.000000,0,0,CBC,1
7,None,64,1167279.668428,1167279.668428,1167279.668428,1172376.107819,1202797.000000,1202797.000000,0.000280,0.040280,0.612280,0.612280,346,748,300.000000,0,0,CBC,1
8,None,64,1167253.766085,1167253.766085,1167253.766085,1173154.693907,1201370.000000,1201370.000000,0.000277,0.060277,0.648277,0.648277,358,818,300.000000,0,0,CBC,1
9,None,64,1168466.879247,1168466.879247,1168466.879247,1173122.610899,1199706.000000,1199706.000000,0.000362,0.036362,0.584362,0.584362,328,702,300.000000,0,0,CBC,1
10,None,64,1167056.776774,1167056.776774,1167056.776774,1172661.621564,1200563.000000,1200563.000000,0.000275,0.064275,0.896275,0.896275,508,1107,300.000000,0,0,CBC,1
