instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,New,4,10482.795280,10573.334266,10550.536062,10550.536062,10783.746878,100000000000000007629769841091887003294964970946560.000000,1.937297,1.961297,1.937297,300.029297,54744,351099,300.000000,5,12,CBC,1
1,Farkas,4,9214.510638,9214.510638,9214.510638,9270.876467,9671.404717,10887.758180,0.073124,0.645124,300.305124,300.313124,58119,378172,300.000000,5,12,CBC,1
2,Farkas,4,733.710951,785.501667,733.710951,822.334554,1211.035242,2095.300235,0.045973,1.329973,300.329973,300.341973,62867,423262,300.000000,5,12,CBC,1
3,Farkas,4,0.000221,0.000221,0.000221,0.000221,0.000240,0.000240,0.054311,0.306311,1.038311,1.042311,124,938,300.000000,5,12,CBC,1
4,Farkas,4,10611.255450,10665.460650,10611.255450,10685.529742,11061.918991,12099.892379,0.044890,0.664890,300.288890,300.292890,56984,387828,300.000000,5,12,CBC,1
5,Farkas,4,9257.111080,9257.125626,9257.111080,9327.744466,9685.240249,10661.178971,0.051094,0.479094,300.303094,300.311094,55230,368115,300.000000,5,12,CBC,1
6,Farkas,4,5968.004719,5968.004719,5968.004719,6035.811601,6534.644635,7950.621842,0.074036,0.818036,300.370036,300.382036,61613,402227,300.000000,5,12,CBC,1
7,Farkas,4,10524.745038,10575.645764,10563.513393,10621.818517,11035.284461,12493.163121,0.043861,0.639861,300.203861,300.211861,33574,208831,300.000000,5,12,CBC,1
8,Farkas,4,3761.157190,3784.061026,3761.157190,3813.004623,4258.915427,4703.892399,0.073844,0.889844,300.357844,300.365844,66319,423620,300.000000,5,12,CBC,1
9,Farkas,4,820.684399,887.122208,826.101688,910.089706,1259.704895,2253.376609,0.044035,1.232035,300.272035,300.284035,47839,298697,300.000000,5,12,CBC,1
10,Farkas,4,1724.850436,1817.258381,1735.572070,1830.222821,2205.139807,3787.102166,0.045152,0.917152,300.257152,300.265152,47294,298736,300.000000,5,12,CBC,1
