instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,New,64,38893.903641,39041.736508,39039.710779,39039.710779,39190.333889,100000000000000007629769841091887003294964970946560.000000,33.790591,33.822591,33.790591,300.026591,60585,368770,300.000000,65,11,CBC,1
1,New,64,38471.862182,38594.806556,38581.348201,38587.224568,38975.325283,39550.054142,32.891145,33.199145,300.263145,300.267145,44884,252099,300.000000,65,11,CBC,1
2,New,64,30146.979850,30754.720707,30710.126019,30749.024702,31337.913297,31337.913297,15.812241,16.044241,28.084241,28.088241,3745,14967,300.000000,65,7,CBC,1
3,New,64,38924.093257,39092.136662,39090.884545,39094.716989,39439.200016,40517.578367,35.929668,36.461668,300.221668,300.225668,39760,227527,300.000000,65,11,CBC,1
4,New,64,32612.815805,33488.102522,33444.776720,33476.012266,34147.582050,34147.582050,20.464224,20.932224,81.120224,81.124224,14162,73153,300.000000,65,8,CBC,1
5,New,64,39246.642287,39376.915118,39372.145254,39377.917758,39784.207578,40651.054142,34.352241,34.632241,300.244241,300.248241,39793,236576,300.000000,65,11,CBC,1
6,New,64,38895.193141,39047.801152,39044.409858,39047.880559,39417.285442,40778.054142,37.902544,38.082544,300.222544,300.222544,38408,216659,300.000000,65,11,CBC,1
8,New,64,31088.011487,31284.493710,31273.181821,31280.352293,31752.083532,32105.054162,33.739370,34.059370,300.243370,300.243370,43765,253068,300.000000,65,11,CBC,1
9,New,64,17096.597343,17327.264988,17319.857999,17323.416241,17985.792530,18448.455081,38.934666,39.202666,300.238666,300.242666,46351,267673,300.000000,65,11,CBC,1
10,New,64,33243.007023,33403.887313,33392.413011,33398.773292,33850.315261,34381.610480,33.556426,33.980426,300.228426,300.232426,43786,261870,300.000000,65,11,CBC,1
