instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,New,16,38893.903641,38962.268924,38956.149375,38956.149375,39353.507750,40005.054142,6.903865,6.927865,300.135865,300.139865,58752,340663,300.000000,17,11,CBC,1
1,Old,16,32669.247823,32674.178496,32674.178496,32746.158491,33175.495310,33687.054152,1.754086,2.142086,300.234086,300.242086,43403,246089,300.000000,17,11,CBC,1
2,Old,16,38893.968436,38962.322236,38959.658216,38984.236988,39352.777917,40122.912263,1.706024,2.046024,300.254024,300.262024,45185,267824,300.000000,17,11,CBC,1
3,Old,16,38893.989776,38962.338978,38959.675522,38984.884553,39343.225612,40005.054142,1.708257,2.148257,300.236257,300.240257,42685,250146,300.000000,17,11,CBC,1
4,Old,16,38893.923947,38962.282810,38959.618907,38988.046836,39369.742510,40352.141700,1.718592,2.330592,300.234592,300.234592,42262,242705,300.000000,17,11,CBC,1
5,Old,16,38893.933654,38962.290285,38956.206981,38992.158639,39356.165415,40684.601476,1.711927,2.319927,300.287927,300.295927,43773,253713,300.000000,17,11,CBC,1
6,Old,16,45253.041643,45261.358786,45259.861907,45294.464119,45611.043752,46626.458340,1.803807,2.043807,300.295807,300.299807,46987,264368,300.000000,17,11,CBC,1
7,Old,16,38893.889731,38962.258819,38956.141351,38988.789885,39348.227213,40488.054142,1.709860,2.101860,300.277860,300.285860,47254,272778,300.000000,17,11,CBC,1
8,Old,16,45253.050107,45261.366615,45259.870351,45294.477097,45620.489062,46440.912253,1.804357,2.028357,300.276357,300.280357,50005,281066,300.000000,17,11,CBC,1
9,Old,16,38893.917550,38962.279029,38956.157401,38989.159714,39357.896683,40005.054142,1.710564,2.306564,300.258564,300.266564,46876,275030,300.000000,17,11,CBC,1
10,Old,16,38893.883334,38962.255037,38956.135385,38988.738807,39365.052997,40411.090750,1.719148,2.107148,300.267148,300.271148,46212,268997,300.000000,17,11,CBC,1
