instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,New,64,290.931073,295.264682,294.377456,302.151032,307.000000,307.000000,19.950395,20.438395,21.814395,21.818395,278,2052,300.000000,65,5,CBC,1
1,Old,64,290.931073,295.264682,294.380445,302.437010,307.000000,307.000000,9.498297,11.618297,18.490297,18.522297,1650,9479,300.000000,65,5,CBC,1
2,Old,64,288.269590,293.503935,292.815470,301.426136,307.000000,307.000000,12.443438,14.495438,73.755438,73.791438,13169,43597,300.000000,65,6,CBC,1
3,Old,64,290.931073,295.264682,294.363354,301.037764,307.000000,307.000000,10.416263,12.532263,29.808263,29.840263,4638,22815,300.000000,65,5,CBC,1
4,Old,64,290.931073,295.264682,294.325840,301.460421,307.000000,307.000000,8.869777,11.125777,22.257777,22.293777,3044,13103,300.000000,65,5,CBC,1
5,Old,64,290.931073,295.264682,294.454658,302.135175,307.000000,307.000000,8.103545,10.311545,13.787545,13.823545,786,5541,300.000000,65,5,CBC,1
6,Old,64,289.927415,293.707007,293.043912,300.054316,307.000000,307.000000,10.372627,12.516627,49.820627,49.860627,9412,46483,300.000000,65,5,CBC,1
7,Old,64,288.219087,292.914675,292.387276,301.571226,307.000000,307.000000,11.294644,13.678644,35.726644,35.770644,6052,28200,300.000000,65,6,CBC,1
8,Old,64,290.931073,291.712379,291.710543,300.750222,307.000000,307.000000,18.396282,20.592282,79.988282,80.024282,14477,48667,300.000000,65,5,CBC,1
9,Old,64,284.483360,286.418487,286.418487,299.218200,306.000000,306.000000,11.443182,13.683182,81.091182,81.131182,18547,79290,300.000000,65,6,CBC,1
10,Old,64,290.931073,295.264682,294.392334,303.520678,307.000000,307.000000,10.132505,12.384505,14.440505,14.472505,404,3604,300.000000,65,5,CBC,1
