instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,New,16,290.931073,293.326747,292.890285,301.002191,307.000000,307.000000,4.136650,4.596650,7.416650,7.420650,644,3961,300.000000,16,5,CBC,1
1,Farkas,16,289.724388,292.531932,291.417899,300.130559,305.000000,305.000000,0.113450,2.249450,46.877450,46.917450,12982,28972,300.000000,16,5,CBC,1
2,Farkas,16,290.068371,292.491724,291.928131,300.720103,306.000000,306.000000,0.112389,2.268389,8.216389,8.252389,1578,8107,300.000000,16,5,CBC,1
3,Farkas,16,288.591139,292.326534,290.341000,299.499713,305.000000,305.000000,0.118958,2.246958,9.834958,9.878958,2076,10484,300.000000,16,5,CBC,1
4,Farkas,16,290.872893,293.139176,292.420697,301.813312,307.000000,307.000000,0.118691,2.354691,8.170691,8.218691,1364,8558,300.000000,16,5,CBC,1
5,Farkas,16,290.096853,292.331661,292.081719,302.318162,306.000000,306.000000,0.120467,2.456467,44.460467,44.500467,13669,31505,300.000000,16,5,CBC,1
6,Farkas,16,289.735114,292.327404,292.231801,301.592334,306.000000,306.000000,0.115997,2.183997,3.099997,3.139997,164,1925,300.000000,16,5,CBC,1
7,Farkas,16,289.987914,292.300022,291.385484,301.214303,307.000000,307.000000,0.120745,2.496745,15.452745,15.500745,2996,16619,300.000000,16,5,CBC,1
8,Farkas,16,290.931073,293.326747,292.890285,302.654450,307.000000,307.000000,0.116415,2.452415,11.964415,12.016415,2616,11387,300.000000,16,5,CBC,1
9,Farkas,16,291.887357,294.326747,293.538810,303.218272,308.000000,308.000000,0.120365,2.472365,28.900365,28.948365,7697,30157,300.000000,16,5,CBC,1
10,Farkas,16,291.029174,293.063857,292.036240,300.861101,307.000000,307.000000,0.115663,2.363663,60.507663,60.555663,16718,43905,300.000000,16,5,CBC,1
