instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,None,4,20430947.618854,20430947.618854,20430947.618854,20487514.433516,20571707.595152,100000000000000007629769841091887003294964970946560.000000,0.002008,0.270008,0.002008,300.022008,45325,372527,300.000000,0,0,CBC,1
1,None,4,6727722.299789,6727722.299789,6727722.299789,6743597.368647,6894556.131386,6942010.483043,0.002051,0.118051,300.170051,300.174051,48152,154898,300.000000,0,0,CBC,1
2,None,4,8275091.185901,8275091.185901,8275091.185901,8292211.817659,8430532.525749,8609702.792958,0.002106,0.066106,300.206106,300.214106,43617,159091,300.000000,0,0,CBC,1
3,None,4,12501356.042852,12501356.042852,12501356.042852,12501356.042852,12604355.495285,12604355.495285,0.002535,0.018535,43.698535,43.706535,10098,26257,300.000000,0,0,CBC,1
4,None,4,9268084.673395,9268084.673395,9268084.673395,9310693.060085,9425841.827473,9533063.660778,0.001969,0.125969,300.185969,300.189969,44923,198992,300.000000,0,0,CBC,1
5,None,4,7162630.972126,7162630.972126,7162630.972126,7182182.326074,7272442.397387,7415158.993327,0.002045,0.106045,300.242045,300.246045,46942,133780,300.000000,0,0,CBC,1
6,None,4,7747845.956053,7747845.956053,7747845.956053,7759033.634960,7891139.434788,7990549.594318,0.002151,0.274151,300.210151,300.218151,47278,162409,300.000000,0,0,CBC,1
7,None,4,3887203.209138,3887203.209138,3887203.209138,3893293.963230,3984365.139381,4043162.103117,0.002379,0.150379,300.250379,300.254379,48943,128012,300.000000,0,0,CBC,1
8,None,4,5896448.989040,5896448.989040,5896448.989040,5906051.715397,6066774.148940,6159202.467910,0.002055,0.106055,300.194055,300.202055,47121,173593,300.000000,0,0,CBC,1
9,None,4,5538320.403761,5538320.403761,5538320.403761,5550065.428533,5686151.731895,5739130.978866,0.002288,0.142288,300.190288,300.194288,52779,145971,300.000000,0,0,CBC,1
