instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,None,4,2520.571739,2520.571739,2520.571739,3088.998129,3089.000000,3089.000000,0.003794,0.123794,0.131794,0.131794,3,158,300.000000,0,0,CBC,1
1,None,4,2519.492180,2519.492180,2519.492180,3094.999717,3095.000000,3095.000000,0.000313,0.024313,0.028313,0.028313,1,81,300.000000,0,0,CBC,1
2,None,4,2518.796367,2518.796367,2518.796367,3089.000000,3089.000000,3089.000000,0.000306,0.020306,0.024306,0.024306,0,58,300.000000,0,0,CBC,1
3,None,4,2520.162741,2520.162741,2520.162741,3088.999694,3089.000000,3089.000000,0.000313,0.120313,0.124313,0.128313,1,381,300.000000,0,0,CBC,1
4,None,4,2517.072310,2517.072310,2517.072310,3087.611914,3089.000000,3089.000000,0.000401,0.076401,0.088401,0.088401,2,196,300.000000,0,0,CBC,1
5,None,4,2693.761371,2693.761371,2693.761371,3278.000000,3278.000000,3278.000000,0.000377,0.020377,0.020377,0.020377,0,52,300.000000,0,0,CBC,1
6,None,4,2518.981087,2518.981087,2518.981087,2846.999823,2847.000000,2847.000000,0.000305,0.008305,0.016305,0.016305,3,27,300.000000,0,0,CBC,1
7,None,4,2519.774783,2519.774783,2519.774783,3089.000000,3089.000000,3089.000000,0.000303,0.012303,0.016303,0.016303,0,36,300.000000,0,0,CBC,1
8,None,4,2520.571739,2520.571739,2520.571739,3088.999090,3089.000000,3089.000000,0.000298,0.076298,0.096298,0.096298,8,244,300.000000,0,0,CBC,1
9,None,4,2620.542155,2620.542155,2620.542155,3089.000000,3089.000000,3089.000000,0.000327,0.008327,0.012327,0.012327,0,29,300.000000,0,0,CBC,1
