instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,New,16,6875.000000,7115.000000,7085.017954,7313.663660,7615.000000,7615.000000,21.000344,25.444344,57.720344,57.752344,1313,29362,300.000000,50,20,CBC,1
1,Old,16,6900.000000,7134.000000,7078.085227,7399.585748,7615.000000,7615.000000,11.349608,14.993608,38.325608,38.357608,1150,21163,300.000000,50,21,CBC,1
2,Old,16,6900.000000,7134.000000,7057.323107,7426.862676,7615.000000,7615.000000,10.442116,14.790116,49.766116,49.814116,1296,31092,300.000000,50,21,CBC,1
3,Old,16,6875.000000,7115.000000,7085.420741,7393.693586,7615.000000,7615.000000,32.070310,37.578310,91.410310,91.446310,1495,37150,300.000000,50,40,CBC,1
4,Old,16,6875.000000,7115.000000,7011.169738,7395.156432,7615.000000,7615.000000,12.368386,17.016386,31.920386,31.960386,715,15839,300.000000,50,20,CBC,1
5,Old,16,6900.000000,7115.000000,7082.981812,7343.664987,7665.000000,7665.000000,20.116508,26.124508,86.436508,86.488508,2243,43206,300.000000,50,41,CBC,1
6,Old,16,6906.186120,7130.070140,6906.200000,7465.456320,7615.000000,7615.000000,12.014584,15.406584,59.850584,59.886584,2732,62444,300.000000,50,11,CBC,1
7,Old,16,6900.000000,7115.000000,7107.209127,7369.733315,7615.000000,7615.000000,12.783367,17.863367,26.115367,26.163367,279,9656,300.000000,50,23,CBC,1
8,Old,16,6897.050562,7130.000000,7090.149680,7380.175057,7615.000000,7615.000000,21.828689,29.500689,61.988689,62.052689,814,21771,300.000000,50,52,CBC,1
9,Old,16,6895.061728,7133.806941,7105.204619,7373.641395,7615.000000,7615.000000,28.024075,34.568075,113.676075,113.724075,2426,49860,300.000000,50,54,CBC,1
10,Old,16,6894.583333,7128.000000,7105.979508,7393.497671,7615.000000,7615.000000,22.696116,29.656116,104.608116,104.684116,2515,50959,300.000000,50,52,CBC,1
