instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,New,4,6875.000000,6935.000000,6890.384615,7328.042671,7615.000000,7615.000000,1.052980,4.444980,10.672980,10.708980,412,10501,300.000000,10,4,CBC,1
1,Old,4,6875.000000,6935.000000,6935.000000,7380.159961,7615.000000,7615.000000,0.911746,5.439746,29.599746,29.663746,1133,26197,300.000000,10,18,CBC,1
2,Old,4,6872.000000,6934.000000,6934.000000,7361.092531,7609.000000,7609.000000,1.045955,6.061955,35.197955,35.265955,1138,27242,300.000000,10,28,CBC,1
3,Old,4,6871.000000,6931.000000,6931.000000,7311.168042,7609.000000,7609.000000,0.874647,5.550647,54.170647,54.234647,2778,54426,300.000000,10,18,CBC,1
4,Old,4,6873.500000,6935.000000,6935.000000,7380.511658,7614.000000,7614.000000,0.794177,5.526177,26.682177,26.734177,1000,23634,300.000000,10,21,CBC,1
5,Old,4,6875.500000,6935.500000,6935.500000,7396.778884,7615.000000,7615.000000,0.604693,4.520693,16.136693,16.180693,575,15422,300.000000,10,11,CBC,1
6,Old,4,6874.000000,6936.500000,6936.500000,7390.696441,7613.000000,7613.000000,0.969149,5.921149,24.073149,24.133149,778,18238,300.000000,10,29,CBC,1
7,Old,4,6875.500000,6935.000000,6935.000000,7406.305255,7614.000000,7614.000000,0.841662,5.085662,24.425662,24.477662,964,22034,300.000000,10,18,CBC,1
8,Old,4,6870.500000,6932.000000,6932.000000,7367.483568,7609.000000,7609.000000,0.837964,5.265964,19.521964,19.581964,774,17286,300.000000,10,16,CBC,1
9,Old,4,6877.500000,6938.000000,6938.000000,7364.020408,7618.000000,7618.000000,0.905019,5.545019,16.477019,16.529019,495,12906,300.000000,10,20,CBC,1
10,Old,4,6870.500000,6934.000000,6934.000000,7310.718479,7612.000000,7612.000000,1.007632,5.939632,37.191632,37.259632,1580,33607,300.000000,10,22,CBC,1
