instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,New,64,5480.606156,5873.853468,5744.793064,6825.510167,6827.277736,100000000000000007629769841091887003294964970946560.000000,106.917191,112.509191,106.917191,300.045191,6129,82053,300.000000,64,46,CBC,1
1,Farkas,64,5480.061318,5876.194984,5734.849319,6643.702997,6651.385590,7641.000000,1.648498,6.228498,300.020498,300.056498,11083,114279,300.000000,64,46,CBC,1
2,Farkas,64,5478.695757,5872.733561,5743.272374,6685.215967,6685.215967,7909.000000,1.600710,2.784710,300.044710,300.068710,11338,109734,300.000000,64,46,CBC,1
3,Farkas,64,5498.634464,5892.332576,5746.150645,7163.397774,7163.636727,7906.000000,1.676893,6.032893,300.044893,300.084893,10027,93055,300.000000,64,46,CBC,1
4,Farkas,64,5500.077099,5901.190536,5741.322478,6645.215694,6650.535500,7902.000000,1.626694,2.234694,300.022694,300.038694,11470,115821,300.000000,64,46,CBC,1
5,Farkas,64,5493.705127,5891.936317,5717.391458,7677.483025,7898.587052,8071.000000,1.710816,2.830816,300.082816,300.102816,21479,322144,300.000000,64,46,CBC,1
6,Farkas,64,5512.790878,5906.168040,5764.071931,6946.757564,6947.287655,8316.000000,1.659035,6.627035,300.051035,300.087035,8311,107229,300.000000,64,46,CBC,1
7,Farkas,64,5478.956597,5872.580354,5741.686181,6791.951756,6792.209729,7817.000000,1.606120,7.102120,300.046120,300.086120,11117,115649,300.000000,64,46,CBC,1
8,Farkas,64,5516.233277,5910.562692,5763.804985,7196.251715,7511.400858,8317.000000,1.652305,3.872305,300.184305,300.216305,20916,249488,300.000000,64,46,CBC,1
9,Farkas,64,5515.883068,5908.039330,5757.205337,7703.777781,8023.000000,8023.000000,1.636395,1.868395,166.632395,166.644395,17735,188340,300.000000,64,46,CBC,1
10,Farkas,64,5481.128810,5936.655469,5810.476324,7893.440682,8310.000000,8310.000000,1.533560,1.973560,166.473560,166.485560,18209,216389,300.000000,64,46,CBC,1
