instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,New,16,981.864286,995.276107,988.159333,991.324910,991.324910,100000000000000007629769841091887003294964970946560.000000,185.086130,192.958130,185.086130,300.062130,1383,31193,300.000000,16,39,CBC,1
1,Farkas,16,675.392825,680.963594,675.392825,707.238864,707.256485,1175.150000,1.193073,9.449073,300.041073,300.141073,6815,152254,300.000000,16,39,CBC,1
2,Farkas,16,889.012943,897.031299,889.012943,925.900314,925.922662,100000000000000007629769841091887003294964970946560.000000,1.035843,11.055843,1.035843,300.095843,6140,136006,300.000000,16,39,CBC,1
3,Farkas,16,828.602698,829.686402,828.602698,853.734892,853.734892,1024.780000,1.014867,6.814867,300.026867,300.090867,5916,172179,300.000000,16,39,CBC,1
4,Farkas,16,821.742440,822.428609,821.742440,829.821151,829.837460,1071.390000,1.143312,8.023312,300.043312,300.119312,6117,154432,300.000000,16,39,CBC,1
5,Farkas,16,842.586059,843.725328,842.586059,851.282597,851.289301,1008.720000,1.066565,9.742565,300.058565,300.150565,5136,148204,300.000000,16,39,CBC,1
6,Farkas,16,972.743961,974.563252,972.743961,977.118597,977.118597,1020.960000,1.043724,4.471724,300.027724,300.059724,5000,186486,300.000000,16,39,CBC,1
7,Farkas,16,714.773620,717.569447,714.773620,799.433390,799.447966,1103.940000,1.089731,10.693731,300.033731,300.121731,4331,140608,300.000000,16,39,CBC,1
8,Farkas,16,524.246576,533.855766,524.246576,599.662187,599.662187,805.330000,1.142726,7.966726,300.050726,300.114726,6933,184321,300.000000,16,39,CBC,1
9,Farkas,16,974.758287,977.488804,974.758287,981.646649,981.678079,100000000000000007629769841091887003294964970946560.000000,1.079260,9.519260,1.079260,300.079260,6070,145419,300.000000,16,39,CBC,1
10,Farkas,16,972.548806,974.602868,972.548806,980.684533,980.684890,1135.860000,0.999892,8.847892,300.043892,300.131892,6415,166847,300.000000,16,39,CBC,1
