instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,New,4,25877.609268,25960.674911,25887.083351,25966.503720,25967.000000,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,370.029438,371.014307,370.029438,371.030622,1,1483,300.000000,4,3,GUROBI,1
1,New,4,25870.882906,25948.176467,25904.716764,25963.673752,25965.000000,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,346.129913,347.105839,346.129913,347.130187,1,1371,300.000000,4,2,GUROBI,1
2,New,4,25880.055928,25953.392713,25912.746755,25970.199452,25977.000000,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,343.490375,344.372338,343.490375,344.525663,1,1444,300.000000,4,3,GUROBI,1
3,New,4,25874.278408,25971.994879,25908.392738,25965.013547,25968.000000,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,375.646313,376.575178,375.646313,376.647672,1,1543,300.000000,4,3,GUROBI,1
4,New,4,25876.294285,25958.457941,25888.103506,25971.228668,25972.000000,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,369.106066,370.097238,369.106066,370.106474,1,1597,300.000000,4,4,GUROBI,1
5,New,4,25880.668708,25962.527282,25908.723300,25977.189286,25978.000000,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,353.832224,354.814382,353.832224,354.833846,1,1539,300.000000,4,4,GUROBI,1
6,New,4,25870.664301,25987.310646,25887.997944,25963.996061,25965.000000,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,377.200906,378.178197,377.200906,378.204426,1,1431,300.000000,4,3,GUROBI,1
7,New,4,25876.434966,25960.037864,25915.148900,25966.843860,25967.000000,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,351.468579,352.443939,351.468579,352.472184,1,1457,300.000000,4,3,GUROBI,1
8,New,4,25880.603864,25964.166807,25899.096088,25979.070296,25980.000000,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,368.372993,369.312122,368.372993,369.410678,1,1526,300.000000,4,4,GUROBI,1
9,New,4,25874.861528,25995.301586,25895.536615,25964.578577,25965.000000,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,340.891993,341.770018,340.891993,341.893594,1,1612,300.000000,4,3,GUROBI,1
10,New,4,25877.156208,26004.177562,25923.266176,25974.378897,25975.000000,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,377.239185,378.203169,377.239185,378.239919,1,1367,300.000000,4,5,GUROBI,1
