instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,New,16,8951799.928130,8960520.048724,8952217.758724,8956562.579938,8965919.816085,8966810.941120,0.408639,0.430007,0.540840,0.606304,1218,2333,300.000000,18,4,GUROBI,1
1,Old,16,8954135.165118,8962551.847418,8959095.672836,8960233.663970,8964077.880709,8964844.179759,0.106229,0.125690,0.236297,0.236574,655,973,300.000000,18,8,GUROBI,1
2,Old,16,8970159.443836,8979597.028234,8970761.017813,8973501.027127,8987687.739793,8988585.857040,0.101712,0.124208,0.264719,0.501323,2919,7122,300.000000,18,2,GUROBI,1
3,Old,16,8967761.325912,8968009.747162,8968009.747162,8969821.523528,8972817.062953,8973714.228245,0.110414,0.134581,0.378541,0.529372,2606,5634,300.000000,18,7,GUROBI,1
4,Old,16,8942196.483932,8942568.133974,8942568.133974,8944930.892086,8947160.513233,8948033.336090,0.112934,0.132605,0.157190,0.205001,591,1153,300.000000,18,3,GUROBI,1
5,Old,16,8962380.810003,8973495.345681,8968601.146802,8972204.694267,8980219.417000,8981098.705780,0.104786,0.127725,0.230978,0.275805,875,1816,300.000000,18,6,GUROBI,1
6,Old,16,8951211.831613,8960203.553408,8955035.478477,8962148.274335,8966631.587833,8967501.705780,0.110647,0.135202,0.212859,0.234391,699,1070,300.000000,18,9,GUROBI,1
7,Old,16,8940598.228475,8952877.695409,8941613.868509,8947863.851434,8959974.111409,8960869.491920,0.103575,0.125885,0.383376,0.555803,3042,6670,300.000000,18,3,GUROBI,1
8,Old,16,8976053.043959,8986457.721112,8982133.068261,8986897.286992,8989963.127638,8990816.593228,0.109727,0.128276,0.162053,0.162277,391,467,300.000000,18,8,GUROBI,1
9,Old,16,8958135.075514,8960550.861263,8958662.905401,8960695.332602,8965879.162383,8966771.491920,0.103318,0.120338,0.240271,0.288397,1208,2221,300.000000,18,4,GUROBI,1
10,Old,16,8943551.037550,8948566.726502,8947200.344031,8948761.816509,8953500.054743,8954393.704890,0.104316,0.127134,0.296846,0.404166,1852,4441,300.000000,18,5,GUROBI,1
