instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,None,4,-2451537.325024,-2451537.325024,-2451537.325024,-2451467.097651,-2451430.278972,-2451279.000000,0.016034,1.108231,17.839572,17.841788,4487,14269,300.000000,0,0,GUROBI,1
1,None,4,-2451530.325024,-2451530.325024,-2451530.325024,-2451460.653894,-2451427.000000,-2451319.000000,0.015823,1.130283,20.612489,20.616947,4922,23670,300.000000,0,0,GUROBI,1
2,None,4,-2451552.325024,-2451552.325024,-2451552.325024,-2451482.266638,-2451449.000000,-2451291.000000,0.015844,1.108134,9.346553,9.350234,2382,13451,300.000000,0,0,GUROBI,1
3,None,4,-2451534.325024,-2451534.325024,-2451534.325024,-2451460.868448,-2451429.467661,-2451344.000000,0.015924,1.112458,37.477689,37.480897,4504,23973,300.000000,0,0,GUROBI,1
4,None,4,-2451532.325024,-2451532.325024,-2451532.325024,-2451462.097651,-2451424.373678,-2451274.000000,0.015903,1.105885,8.013960,8.015684,2281,9966,300.000000,0,0,GUROBI,1
5,None,4,-2451523.325024,-2451523.325024,-2451523.325024,-2451453.097651,-2451418.349880,-2451332.000000,0.015835,1.107250,7.786636,7.788556,2067,9031,300.000000,0,0,GUROBI,1
6,None,4,-2451506.325024,-2451506.325024,-2451506.325024,-2451437.097651,-2451401.690159,-2451316.000000,0.015954,1.120116,10.128310,10.130471,2809,14582,300.000000,0,0,GUROBI,1
7,None,4,-2451542.325024,-2451542.325024,-2451542.325024,-2451472.097651,-2451437.493848,-2451219.000000,0.016023,1.111336,16.729192,16.731680,3879,10521,300.000000,0,0,GUROBI,1
8,None,4,-2451520.325024,-2451520.325024,-2451520.325024,-2451450.097651,-2451417.000000,-2451257.000000,0.015912,1.112662,9.615982,9.619786,2381,12915,300.000000,0,0,GUROBI,1
9,None,4,-2451531.470604,-2451531.470604,-2451531.470604,-2451461.794874,-2451426.559358,-2451321.000000,0.016062,1.122695,92.030179,92.043139,10127,250294,300.000000,0,0,GUROBI,1
10,None,4,-2451531.179445,-2451531.179445,-2451531.179445,-2451462.038321,-2451425.755202,-2451265.000000,0.015935,1.097442,7.842539,7.844217,2308,9358,300.000000,0,0,GUROBI,1
