instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,New,64,95919464.000000,102291675.000000,99118571.662651,106920712.985292,106932242.082178,106940226.000000,55.582868,55.717689,55.726147,55.726263,8,369,300.000000,64,4,GUROBI,1
1,Farkas,64,88898464.058106,92438233.304029,89978754.633574,98489107.620045,98525704.600000,98525704.600000,1.588475,1.735262,1.743079,1.745064,10,397,300.000000,64,4,GUROBI,1
2,Farkas,64,81931006.639992,86421181.063399,82306311.860875,89983114.769622,90125069.133929,90125069.133929,2.103232,2.225135,2.251338,2.251456,15,459,300.000000,64,4,GUROBI,1
3,Farkas,64,65420386.561731,67516222.666956,65420386.561731,71654604.675120,71689275.292502,71695444.138889,2.325421,2.488475,2.505135,2.507006,11,431,300.000000,64,4,GUROBI,1
4,Farkas,64,69041624.025389,71212508.405023,69398543.188235,73571935.793794,73909754.319444,73909754.319444,2.409946,2.621507,2.635937,2.636055,10,609,300.000000,64,4,GUROBI,1
5,Farkas,64,57495764.773223,57871528.498168,57495764.773223,62266110.251632,62478249.033333,62478249.033333,2.196200,2.326823,2.337991,2.342123,15,331,300.000000,64,4,GUROBI,1
6,Farkas,64,80924181.785825,82213868.229421,80924181.785825,86590232.100513,86645034.539216,86645034.539216,2.009141,2.162748,2.173910,2.176007,10,486,300.000000,64,4,GUROBI,1
7,Farkas,64,72847462.123468,73545082.589214,72852101.944172,79479511.552367,79509500.874990,79513927.472222,2.001293,2.168194,2.172813,2.175867,12,430,300.000000,64,4,GUROBI,1
8,Farkas,64,96354868.243651,101250275.643671,98383001.906302,107111889.761821,107300453.500000,107300453.500000,1.574977,1.732029,1.749431,1.757008,17,485,300.000000,64,4,GUROBI,1
9,Farkas,64,86610236.993079,90701675.621236,87239704.366072,93742481.573384,93803762.069806,93812715.892857,2.043412,2.205294,2.212884,2.215014,8,462,300.000000,64,4,GUROBI,1
10,Farkas,64,75423281.333333,78797282.592377,75694268.833333,82034310.726704,82610880.547619,82610880.547619,2.158271,2.322904,2.394991,2.399411,50,912,300.000000,64,4,GUROBI,1
