instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,None,64,95919464.000000,95919464.000000,95919464.000000,106929683.664870,106940226.000000,106940226.000000,0.003374,0.134915,0.142938,0.143052,7,361,300.000000,0,0,GUROBI,1
1,None,64,83358944.022304,83358944.022304,83358944.022304,91360063.357303,91570402.247619,91570402.247619,0.003382,0.190183,0.247985,0.248103,42,906,300.000000,0,0,GUROBI,1
2,None,64,74001550.405586,74001550.405586,74001550.405586,82305157.759626,82425153.033438,82431540.522727,0.003385,0.176755,0.184546,0.184665,13,430,300.000000,0,0,GUROBI,1
3,None,64,51810007.241899,51810007.241899,51810007.241899,54874491.713577,54917868.047082,54917868.047082,0.003418,0.053063,0.055240,0.056115,4,131,300.000000,0,0,GUROBI,1
4,None,64,77234163.453198,77234163.453198,77234163.453198,81213191.733330,81354314.094811,81354314.094811,0.003432,0.135548,0.155117,0.157948,23,416,300.000000,0,0,GUROBI,1
5,None,64,62397494.655964,62397494.655964,62397494.655964,65773143.592425,66129681.005063,66129681.005063,0.003423,0.071289,0.074553,0.080287,10,234,300.000000,0,0,GUROBI,1
6,None,64,59822706.478680,59822706.478680,59822706.478680,63461697.168144,63519539.271970,63519539.271970,0.003364,0.144666,0.148162,0.150338,9,373,300.000000,0,0,GUROBI,1
7,None,64,55786301.345370,55786301.345370,55786301.345370,60989414.995001,61370490.297009,61370490.297009,0.003363,0.116253,0.130770,0.130888,17,400,300.000000,0,0,GUROBI,1
8,None,64,62960017.339663,62960017.339663,62960017.339663,64898907.449779,65120644.976974,65120644.976974,0.003389,0.052713,0.054793,0.054921,1,159,300.000000,0,0,GUROBI,1
9,None,64,66596342.056863,66596342.056863,66596342.056863,71332140.028117,71781096.486842,71781096.486842,0.003383,0.154387,0.165276,0.172481,12,508,300.000000,0,0,GUROBI,1
10,None,64,46591967.370239,46591967.370239,46591967.370239,47752676.086731,47758574.940594,47758574.940594,0.003374,0.064086,0.065025,0.065948,2,144,300.000000,0,0,GUROBI,1
