instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,New,4,4656.363636,4666.691057,4663.194343,4663.695673,4722.000000,4722.000000,147.519683,148.093514,149.443103,149.525424,413,5926,300.000000,4,52,GUROBI,1
1,New,4,3975.365741,4661.710059,4143.955674,4658.746225,4722.000000,4722.000000,14.622213,14.960659,16.711277,16.835493,601,8597,300.000000,30,1,GUROBI,1
2,New,4,4062.034624,4670.304762,4162.521341,4660.350515,4722.000000,4722.000000,18.949799,19.249762,20.089956,20.384675,286,5466,300.000000,27,1,GUROBI,1
3,New,4,4236.324704,4657.292929,4274.640250,4658.927536,4724.000000,4724.000000,19.961473,20.347852,22.339395,22.436660,731,9868,300.000000,23,1,GUROBI,1
4,New,4,4253.664105,4669.506329,4316.582011,4658.640449,4722.000000,4722.000000,16.826092,17.158859,18.765056,18.793986,517,7800,300.000000,29,1,GUROBI,1
5,New,4,4483.862500,4665.292111,4510.244565,4660.666667,4722.000000,4722.000000,16.250318,16.587140,17.647351,17.772103,348,5362,300.000000,22,1,GUROBI,1
6,New,4,4035.724576,4663.054585,4186.060345,4659.712121,4727.000000,4727.000000,17.410525,17.751940,18.377456,18.731974,281,4866,300.000000,33,1,GUROBI,1
7,New,4,4307.122254,4665.776119,4410.062859,4659.566038,4722.000000,4722.000000,53.635802,53.981603,54.960736,55.179359,324,5437,300.000000,26,8,GUROBI,1
8,New,4,4018.030303,4662.619760,4094.793286,4661.194805,4734.000000,4734.000000,18.190192,18.491854,19.698626,20.242828,629,7928,300.000000,24,1,GUROBI,1
9,New,4,4113.698582,4663.081797,4173.181940,4663.308824,4732.000000,4732.000000,107.254465,107.562796,109.281065,109.302974,518,6919,300.000000,27,13,GUROBI,1
10,New,4,4210.797389,4697.017730,4304.453333,4693.699219,4728.000000,4728.000000,17.034965,17.286723,17.651629,17.702312,54,1469,300.000000,26,1,GUROBI,1
