instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,New,16,12841.689392,12848.411043,12843.809485,12850.138343,12850.650574,12850.860735,18.932094,19.109625,19.113298,19.113433,6,862,300.000000,16,7,GUROBI,1
1,New,16,12728.677839,12732.006061,12729.092411,12737.372276,12738.150544,12739.242329,25.532326,25.722915,25.744552,25.744685,20,896,300.000000,16,10,GUROBI,1
2,New,16,12852.150416,12858.250889,12857.053388,12863.633519,12863.648029,12864.527283,18.627339,18.837028,18.846293,18.846421,6,841,300.000000,16,7,GUROBI,1
3,New,16,12776.763560,12781.657124,12777.581695,12783.731843,12783.747990,12783.873512,26.793168,26.985930,26.989129,26.989260,2,876,300.000000,16,11,GUROBI,1
4,New,16,12849.082640,12855.273561,12849.082640,12857.182310,12858.107177,12858.187169,8.062680,8.210258,8.218963,8.219135,6,810,300.000000,17,1,GUROBI,1
5,New,16,12885.609006,12893.875939,12887.730173,12895.187486,12895.283514,12896.567531,13.216909,13.363771,13.375238,13.375368,8,845,300.000000,16,4,GUROBI,1
6,New,16,12429.670809,12435.688611,12430.607760,12439.562415,12439.916539,12441.093274,11.387210,11.529110,11.542456,11.542587,11,818,300.000000,16,3,GUROBI,1
7,New,16,12794.923732,12802.184441,12795.928498,12804.067064,12805.289858,12806.089606,29.604347,29.757859,29.763042,29.767942,10,933,300.000000,16,12,GUROBI,1
8,New,16,12819.011634,12824.189964,12821.096949,12827.190980,12827.630944,12828.139972,26.476191,26.676705,26.687950,26.688079,8,846,300.000000,18,11,GUROBI,1
9,New,16,13038.178582,13043.497202,13038.178582,13046.212667,13046.668190,13047.008225,8.042518,8.211714,8.219803,8.219931,9,912,300.000000,17,1,GUROBI,1
10,New,16,12692.527385,12697.821614,12693.879633,12702.187778,12702.242976,12702.759718,26.751526,26.938466,26.953320,26.953467,7,933,300.000000,17,11,GUROBI,1
