instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,New,4,1415.000000,1425.000000,1422.656250,1535.000000,2810.000000,2810.000000,3.623276,4.092043,9.530271,15.243687,7599,87358,300.000000,4,16,GUROBI,1
1,New,4,1415.000000,1415.000000,1415.000000,1518.000000,2810.000000,2810.000000,4.982294,5.403568,10.858226,16.486131,7502,87660,300.000000,4,24,GUROBI,1
2,New,4,1415.000000,1425.000000,1425.000000,1518.000000,2810.000000,2810.000000,5.652524,6.118079,9.929694,46.343872,31956,368573,300.000000,4,22,GUROBI,1
3,New,4,1415.000000,1415.000000,1415.000000,1518.000000,2810.000000,2810.000000,5.085910,5.559026,10.403179,12.533696,4736,50407,300.000000,4,22,GUROBI,1
4,New,4,1415.000000,1415.000000,1415.000000,1518.000000,2810.000000,2810.000000,7.080298,7.510350,16.161859,82.867423,27381,391735,300.000000,5,28,GUROBI,1
5,New,4,1415.000000,1415.000000,1415.000000,1548.086957,2810.000000,2810.000000,4.450323,5.173247,10.089985,24.052671,11756,140861,300.000000,4,18,GUROBI,1
6,New,4,1415.000000,1425.000000,1425.000000,1518.000000,2810.000000,2810.000000,4.066622,4.518867,7.928665,33.959499,20546,223324,300.000000,4,17,GUROBI,1
7,New,4,1415.000000,1415.000000,1415.000000,1535.000000,2810.000000,2810.000000,6.360007,6.809673,11.255904,30.029864,13513,162669,300.000000,4,28,GUROBI,1
8,New,4,1415.000000,1415.000000,1415.000000,1518.000000,2810.000000,2810.000000,4.894807,5.322201,9.363316,14.228791,5624,71505,300.000000,4,20,GUROBI,1
9,New,4,1415.000000,1415.000000,1415.000000,1535.000000,2810.000000,2810.000000,3.845410,4.306493,8.799520,29.726308,17964,201759,300.000000,4,16,GUROBI,1
10,New,4,1415.000000,1415.000000,1415.000000,1518.000000,2810.000000,2810.000000,5.987049,6.417773,10.446683,15.273809,5624,71505,300.000000,4,26,GUROBI,1
