instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,New,16,1415.000000,1430.000000,1418.496393,1535.000000,2810.000000,2810.000000,49.818987,50.372115,55.474276,58.796309,6196,64500,300.000000,101,16,GUROBI,1
1,New,16,1413.000000,1424.500000,1416.353573,1534.583333,2810.000000,2810.000000,55.088547,55.590548,63.509989,105.001528,31787,433691,300.000000,138,16,GUROBI,1
2,New,16,1411.500000,1425.000000,1424.087023,1518.500000,2809.000000,2809.000000,64.266279,64.753836,82.544975,137.937009,27583,447900,300.000000,144,16,GUROBI,1
3,New,16,1411.500000,1438.043478,1427.090496,1533.754840,2797.000000,2797.000000,67.820839,68.399536,113.486697,140.941835,29464,449529,300.000000,136,16,GUROBI,1
4,New,16,1409.500000,1434.571429,1410.839836,1516.625000,2800.000000,2800.000000,61.599742,62.066004,87.889176,92.232033,22603,281376,300.000000,130,16,GUROBI,1
5,New,16,1411.500000,1417.500000,1415.466052,1518.728571,2805.000000,2805.000000,91.770292,92.279047,101.234357,129.720039,27092,336344,300.000000,126,24,GUROBI,1
6,New,16,1413.000000,1428.750000,1425.759206,1534.952381,2805.000000,2805.000000,71.484130,71.992461,83.797811,110.288806,22759,322451,300.000000,135,18,GUROBI,1
7,New,16,1412.500000,1434.250000,1418.406759,1526.202116,2805.000000,2805.000000,90.521030,91.052090,154.438377,167.236419,25171,411374,300.000000,136,24,GUROBI,1
8,New,16,1407.000000,1429.550000,1425.210577,1516.673196,2804.000000,2804.000000,44.778690,45.463334,57.279441,129.225854,30079,489714,300.000000,101,16,GUROBI,1
9,New,16,1412.500000,1439.875000,1415.504050,1518.900000,2810.000000,2810.000000,58.609267,59.106281,65.764697,97.344017,23170,315154,300.000000,119,16,GUROBI,1
10,New,16,1412.000000,1434.500000,1415.180091,1537.958980,2806.000000,2806.000000,57.626235,58.265985,78.400709,99.993660,24445,313342,300.000000,120,16,GUROBI,1
