instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,None,16,1415.000000,1415.000000,1415.000000,1518.000000,2810.000000,2810.000000,0.004886,0.473801,3.299696,7.188235,4234,50582,300.000000,0,0,GUROBI,1
1,None,16,1402.000000,1402.000000,1402.000000,1534.259247,2789.000000,2789.000000,0.004812,0.695705,20.972815,42.792586,25837,346039,300.000000,0,0,GUROBI,1
2,None,16,1402.000000,1402.000000,1402.000000,1529.337998,2780.000000,2780.000000,0.004860,0.473923,46.207865,46.208008,24921,344797,300.000000,0,0,GUROBI,1
3,None,16,1406.000000,1406.000000,1406.000000,1518.246914,2785.000000,2785.000000,0.004849,0.524708,11.825960,39.069766,21567,288208,300.000000,0,0,GUROBI,1
4,None,16,1406.500000,1406.500000,1406.500000,1527.370370,2780.000000,2780.000000,0.004907,0.486317,12.128759,37.169541,21633,279605,300.000000,0,0,GUROBI,1
5,None,16,1409.000000,1409.000000,1409.000000,1537.496835,2802.000000,2802.000000,0.004895,0.529880,30.713316,38.878209,29668,355078,300.000000,0,0,GUROBI,1
6,None,16,1407.750000,1407.750000,1407.750000,1515.766667,2804.000000,2804.000000,0.004995,0.439699,33.473326,45.943018,20520,322509,300.000000,0,0,GUROBI,1
7,None,16,1403.000000,1403.000000,1403.000000,1517.016667,2799.000000,2799.000000,0.004865,0.573866,10.746838,36.221595,25632,316900,300.000000,0,0,GUROBI,1
8,None,16,1406.000000,1406.000000,1406.000000,1532.557451,2797.000000,2797.000000,0.004935,0.661916,9.347108,40.585640,24262,325743,300.000000,0,0,GUROBI,1
9,None,16,1408.500000,1408.500000,1408.500000,1518.425000,2808.000000,2808.000000,0.004913,0.543973,11.569166,47.580595,24649,353039,300.000000,0,0,GUROBI,1
10,None,16,1389.000000,1389.000000,1389.000000,1511.222222,2782.000000,2782.000000,0.004831,0.423257,35.772516,43.645086,29750,357799,300.000000,0,0,GUROBI,1
