instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,New,16,291.089439,293.428211,293.248853,301.262537,307.000000,307.000000,4.085575,4.170047,4.202012,4.202097,45,379,300.000000,16,6,GUROBI,1
1,Farkas,16,291.089439,293.428211,293.248853,304.018717,307.000000,307.000000,0.112420,0.228915,0.249658,0.255071,33,394,300.000000,16,6,GUROBI,1
2,Farkas,16,289.336184,291.000897,290.511952,301.298337,307.000000,307.000000,0.116795,0.249253,0.292276,0.309171,84,727,300.000000,16,6,GUROBI,1
3,Farkas,16,291.089439,293.428211,293.230094,304.080411,307.000000,307.000000,0.115960,0.258137,0.491243,0.491333,362,1529,300.000000,16,6,GUROBI,1
4,Farkas,16,291.089439,293.483867,292.219798,303.725982,307.000000,307.000000,0.110362,0.251278,0.271433,0.274431,28,411,300.000000,16,6,GUROBI,1
5,Farkas,16,291.089439,293.050472,292.139377,303.535843,307.000000,307.000000,0.116003,0.257457,0.283435,0.290134,41,467,300.000000,16,6,GUROBI,1
6,Farkas,16,291.089439,293.428211,293.233298,303.707115,307.000000,307.000000,0.117214,0.252471,0.294935,0.295021,68,605,300.000000,16,6,GUROBI,1
7,Farkas,16,284.310065,285.504807,285.299917,298.361719,306.000000,306.000000,0.117960,0.206651,0.415976,0.454509,474,2044,300.000000,16,6,GUROBI,1
8,Farkas,16,287.232033,287.232033,287.232033,300.110282,307.000000,307.000000,0.114740,0.212799,0.245088,0.245186,47,416,300.000000,16,6,GUROBI,1
9,Farkas,16,290.106961,292.957642,290.668283,301.955745,307.000000,307.000000,0.119996,0.245064,0.444462,0.444551,343,1236,300.000000,16,6,GUROBI,1
10,Farkas,16,283.737576,284.755833,284.138355,298.189028,307.000000,307.000000,0.116328,0.256851,0.321686,0.321784,94,1093,300.000000,16,6,GUROBI,1
