instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,None,64,6532.083333,6532.083333,6532.083333,6535.000000,6548.000000,6548.000000,0.008424,0.249312,0.548669,0.573343,77,1614,300.000000,0,0,GUROBI,1
1,None,64,6512.000000,6512.000000,6512.000000,6516.000000,6527.000000,6527.000000,0.008341,0.234220,0.524832,0.525655,36,1187,300.000000,0,0,GUROBI,1
2,None,64,6527.500000,6527.500000,6527.500000,6529.500000,6535.000000,6535.000000,0.008349,0.236509,0.260380,0.262340,4,943,300.000000,0,0,GUROBI,1
3,None,64,6519.666667,6519.666667,6519.666667,6523.000000,6533.000000,6533.000000,0.008359,0.283577,0.707661,0.708596,66,1511,300.000000,0,0,GUROBI,1
4,None,64,6500.166667,6500.166667,6500.166667,6505.000000,6514.000000,6514.000000,0.008231,0.239576,0.528568,0.529686,51,1128,300.000000,0,0,GUROBI,1
5,None,64,6505.500000,6505.500000,6505.500000,6508.500000,6513.000000,6513.000000,0.008261,0.254122,0.372546,0.373554,22,1001,300.000000,0,0,GUROBI,1
6,None,64,6523.000000,6523.000000,6523.000000,6527.000000,6538.000000,6538.000000,0.008288,0.261062,0.394836,0.395795,28,1141,300.000000,0,0,GUROBI,1
7,None,64,6530.000000,6530.000000,6530.000000,6534.500000,6547.000000,6547.000000,0.008630,0.263748,0.657880,0.682347,63,1373,300.000000,0,0,GUROBI,1
8,None,64,6527.500000,6527.500000,6527.500000,6532.000000,6541.000000,6541.000000,0.008278,0.282479,0.505231,0.514990,45,1382,300.000000,0,0,GUROBI,1
9,None,64,6519.000000,6519.000000,6519.000000,6521.750000,6536.000000,6536.000000,0.008540,0.247418,0.526903,0.559315,63,1240,300.000000,0,0,GUROBI,1
10,None,64,6514.250000,6514.250000,6514.250000,6516.000000,6530.000000,6530.000000,0.008580,0.272591,0.630578,0.631486,56,1258,300.000000,0,0,GUROBI,1
