instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,None,4,7155.000000,7155.000000,7155.000000,7538.636364,7615.000000,7615.000000,0.002137,0.367580,0.418443,0.423079,18,1726,300.000000,0,0,GUROBI,1
1,None,4,7155.000000,7155.000000,7155.000000,7523.094896,7615.000000,7615.000000,0.001568,0.287719,0.401040,0.401128,41,1386,300.000000,0,0,GUROBI,1
2,None,4,7155.000000,7155.000000,7155.000000,7507.188914,7615.000000,7615.000000,0.001567,0.338557,0.360181,0.391987,18,935,300.000000,0,0,GUROBI,1
3,None,4,7155.000000,7155.000000,7155.000000,7484.340038,7615.000000,7615.000000,0.001562,0.270390,0.331203,0.331283,14,1151,300.000000,0,0,GUROBI,1
4,None,4,7155.000000,7155.000000,7155.000000,7493.965803,7615.000000,7615.000000,0.001585,0.274314,0.365263,0.381941,40,1551,300.000000,0,0,GUROBI,1
5,None,4,7155.000000,7155.000000,7155.000000,7472.038278,7615.000000,7615.000000,0.001550,0.238102,0.272023,0.283575,19,954,300.000000,0,0,GUROBI,1
6,None,4,7155.000000,7155.000000,7155.000000,7495.414634,7615.000000,7615.000000,0.002095,0.302896,0.374667,0.374748,29,1144,300.000000,0,0,GUROBI,1
7,None,4,7155.000000,7155.000000,7155.000000,7510.671374,7615.000000,7615.000000,0.001605,0.303004,0.437134,0.439288,40,1466,300.000000,0,0,GUROBI,1
8,None,4,7155.000000,7155.000000,7155.000000,7503.096330,7615.000000,7615.000000,0.001583,0.302186,0.377269,0.377351,22,1183,300.000000,0,0,GUROBI,1
9,None,4,7155.000000,7155.000000,7155.000000,7473.727106,7615.000000,7615.000000,0.001602,0.260470,0.287060,0.343744,18,991,300.000000,0,0,GUROBI,1
10,None,4,7155.000000,7155.000000,7155.000000,7524.662700,7615.000000,7615.000000,0.001618,0.307299,0.346924,0.370129,26,1159,300.000000,0,0,GUROBI,1
