instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,None,16,7155.000000,7155.000000,7155.000000,7538.636364,7615.000000,7615.000000,0.001842,0.337245,0.388602,0.393336,18,1726,300.000000,0,0,GUROBI,1
1,None,16,7157.500000,7157.500000,7157.500000,7480.450758,7616.000000,7616.000000,0.001582,0.264200,0.352066,0.355093,41,1168,300.000000,0,0,GUROBI,1
2,None,16,7154.250000,7154.250000,7154.250000,7444.810485,7615.000000,7615.000000,0.001569,0.264754,0.443667,0.443757,63,1796,300.000000,0,0,GUROBI,1
3,None,16,7156.000000,7156.000000,7156.000000,7511.061106,7614.000000,7614.000000,0.001561,0.252473,0.296995,0.306556,20,844,300.000000,0,0,GUROBI,1
4,None,16,7155.000000,7155.000000,7155.000000,7558.624834,7615.000000,7615.000000,0.001584,0.343250,0.451084,0.458617,38,1379,300.000000,0,0,GUROBI,1
5,None,16,7154.500000,7154.500000,7154.500000,7509.931094,7615.000000,7615.000000,0.001514,0.283242,0.388559,0.388797,35,1373,300.000000,0,0,GUROBI,1
6,None,16,7152.750000,7152.750000,7152.750000,7481.691924,7611.000000,7611.000000,0.001541,0.279788,0.458920,0.461807,85,1839,300.000000,0,0,GUROBI,1
7,None,16,7142.500000,7142.500000,7142.500000,7489.160121,7596.000000,7596.000000,0.002134,0.343134,0.403819,0.410680,34,1250,300.000000,0,0,GUROBI,1
8,None,16,7151.500000,7151.500000,7151.500000,7522.680651,7609.000000,7609.000000,0.001577,0.312340,0.362694,0.370907,23,986,300.000000,0,0,GUROBI,1
9,None,16,7151.750000,7151.750000,7151.750000,7482.483615,7609.000000,7609.000000,0.001531,0.303342,0.413057,0.429060,47,1612,300.000000,0,0,GUROBI,1
10,None,16,7155.500000,7155.500000,7155.500000,7513.708238,7612.000000,7612.000000,0.002124,0.268022,0.320305,0.320389,17,867,300.000000,0,0,GUROBI,1
