instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,New,64,35118.109848,35543.871937,35512.050939,54517.939301,54533.201299,54537.750000,170.418157,170.565674,170.614890,170.618809,49,852,300.000000,64,63,GUROBI,1
1,Old,64,30868.391583,31328.640149,31201.597758,48433.354976,48546.000000,48546.000000,9.775973,9.873600,10.066589,10.103171,208,1676,300.000000,64,5,GUROBI,1
2,Old,64,26269.305865,26433.717759,26433.717759,42107.697674,42152.500000,42152.500000,6.195086,6.285636,6.306664,6.307236,19,510,300.000000,64,3,GUROBI,1
3,Old,64,30895.071976,30978.429307,30978.429307,49647.939571,49784.250000,49784.250000,8.043953,8.164590,8.326686,8.329266,115,1211,300.000000,64,33,GUROBI,1
4,Old,64,34519.186940,34822.582707,34684.444505,54078.761940,54110.079248,54113.000000,7.910417,8.027619,8.195049,8.206704,128,1248,300.000000,64,8,GUROBI,1
5,Old,64,32809.756956,33072.354586,33069.627772,51240.479343,51330.762211,51335.000000,20.242937,20.427550,20.489111,20.538055,64,1136,300.000000,64,80,GUROBI,1
6,Old,64,31364.638731,31441.984973,31441.984973,48643.665426,48691.554054,48693.500000,14.699659,14.838122,14.890647,14.909269,66,812,300.000000,64,27,GUROBI,1
7,Old,64,25100.481422,25103.150697,25103.150697,40249.932412,40356.250000,40356.250000,8.119238,8.232666,8.302784,8.306630,59,889,300.000000,64,2,GUROBI,1
8,Old,64,26883.712526,26898.305104,26898.305104,44192.202104,44335.321313,44338.250000,11.156680,11.245716,11.296408,11.296515,36,598,300.000000,64,32,GUROBI,1
10,Old,64,31860.507211,31905.852901,31905.852901,48815.731803,48945.500000,48945.500000,15.477643,15.615112,15.667468,15.672419,29,776,300.000000,64,82,GUROBI,1
