instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,None,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.068139,0.000002,0.068139,0,0,3600.000000,0,0,0,GUROBI,1,0,0,0
1,None,4,-0.007812,-0.007812,-0.007812,-0.007812,-0.007812,-0.007812,0.000003,11.430845,83.205443,83.206849,486,330194,3600.000000,0,0,0,GUROBI,1,0,0,0
2,None,4,-0.007812,-0.007812,-0.007812,-0.007812,-0.007812,-0.007812,0.000003,7.530214,135.386430,135.387415,1419,628183,3600.000000,0,0,0,GUROBI,1,0,0,0
3,None,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,0.067445,0.000003,0.067445,0,0,3600.000000,0,0,0,GUROBI,1,0,0,0
4,None,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.066599,0.000002,0.066599,0,0,3600.000000,0,0,0,GUROBI,1,0,0,0
5,None,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.065568,0.000002,0.065568,0,0,3600.000000,0,0,0,GUROBI,1,0,0,0
6,None,4,-0.007812,-0.007812,-0.007812,-0.007812,-0.007812,-0.007812,0.000002,14.024875,80.495571,80.496444,627,352612,3600.000000,0,0,0,GUROBI,1,0,0,0
7,None,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,0.067754,0.000003,0.067754,0,0,3600.000000,0,0,0,GUROBI,1,0,0,0
8,None,4,-0.007812,-0.007812,-0.007812,-0.007812,-0.007812,-0.007812,0.000003,9.688344,27.292199,27.292972,126,108996,3600.000000,0,0,0,GUROBI,1,0,0,0
9,None,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.067549,0.000002,0.067549,0,0,3600.000000,0,0,0,GUROBI,1,0,0,0
10,None,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.067173,0.000002,0.067173,0,0,3600.000000,0,0,0,GUROBI,1,0,0,0
