instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,None,16,-1.818182,-1.818182,-1.818182,-1.500000,-1.500000,-1.500000,0.000034,0.007941,0.008143,0.008317,1,90,3600.000000,0,0,0,GUROBI,1
1,None,16,-1.822088,-1.822088,-1.822088,-1.503906,-1.503906,-1.503906,0.000018,0.006212,0.006485,0.006642,1,126,3600.000000,0,0,0,GUROBI,1
2,None,16,-1.822088,-1.822088,-1.822088,-1.503906,-1.503906,-1.503906,0.000006,0.014663,0.014918,0.015066,1,139,3600.000000,0,0,0,GUROBI,1
3,None,16,-1.818182,-1.818182,-1.818182,-1.500000,-1.500000,-1.500000,0.000001,0.006157,0.006339,0.006481,1,96,3600.000000,0,0,0,GUROBI,1
4,None,16,-1.818182,-1.818182,-1.818182,-1.500000,-1.500000,-1.500000,0.000001,0.006366,0.006555,0.006692,1,143,3600.000000,0,0,0,GUROBI,1
5,None,16,-1.818182,-1.818182,-1.818182,-1.500000,-1.500000,-1.500000,0.000003,0.005542,0.005720,0.005860,1,91,3600.000000,0,0,0,GUROBI,1
6,None,16,-1.818182,-1.818182,-1.818182,-1.500000,-1.500000,-1.500000,0.000002,0.010300,0.010740,0.010979,1,138,3600.000000,0,0,0,GUROBI,1
7,None,16,-1.818182,-1.818182,-1.818182,-1.500000,-1.500000,-1.500000,0.000003,0.012169,0.012389,0.012577,1,98,3600.000000,0,0,0,GUROBI,1
8,None,16,-1.822088,-1.822088,-1.822088,-1.503906,-1.503906,-1.503906,0.000001,0.009191,0.009447,0.009645,1,106,3600.000000,0,0,0,GUROBI,1
9,None,16,-1.818182,-1.818182,-1.818182,-1.500000,-1.500000,-1.500000,0.000003,0.011988,0.012317,0.012514,1,157,3600.000000,0,0,0,GUROBI,1
10,None,16,-1.818182,-1.818182,-1.818182,-1.500000,-1.500000,-1.500000,0.000001,0.008079,0.008370,0.008586,1,74,3600.000000,0,0,0,GUROBI,1
