instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,4,4592.504859,4598.873907,4598.873907,20012.608901,23664.180355,24544.250000,5.001217,13.454110,2053.801331,3605.005207,31743,6944563,3600.000000,4,6,247,GUROBI,1
1,New,4,-5317.038346,-5308.705012,-5312.288346,10077.996842,13611.188167,13611.823333,2.317970,8.575671,1398.048103,1398.715683,29188,3542852,3600.000000,4,3,236,GUROBI,1
2,New,4,-80863.859315,-80855.442648,-80855.442648,-66319.943866,-62944.495498,-62938.467200,2.290654,9.753891,1076.374870,1080.672442,16878,2226924,3600.000000,4,2,213,GUROBI,1
3,New,4,-47044.445528,-47036.696454,-47041.446454,-32588.356602,-28982.243498,-28979.576467,3.755034,9.036332,446.138656,446.138937,11074,1100094,3600.000000,4,13,226,GUROBI,1
4,New,4,-6367.127782,-6358.794448,-6358.794448,8744.102655,12425.600942,12426.641067,2.362201,9.226899,1551.834069,1553.835695,27105,3710675,3600.000000,4,4,234,GUROBI,1
5,New,4,-46841.669148,-46834.335815,-46834.335815,-32141.316940,-28410.489967,-28407.865867,2.250928,9.121468,851.738443,857.588595,16366,2021656,3600.000000,4,3,225,GUROBI,1
6,New,4,-92775.824179,-92770.647708,-92770.647708,-78716.901204,-75117.662041,-75111.936467,2.495629,9.022237,245.765340,245.819502,3695,513899,3600.000000,4,3,232,GUROBI,1
7,New,4,-5013.820521,-5005.487188,-5005.487188,9577.301781,13299.816399,13301.000586,2.284436,8.746568,381.964156,586.810213,13413,1575913,3600.000000,4,4,237,GUROBI,1
8,New,4,-27337.882667,-27329.518779,-27330.514149,-12789.921383,-9097.073943,-9096.170600,3.286804,10.791961,943.243164,945.378966,21666,2436512,3600.000000,4,11,227,GUROBI,1
9,New,4,-76764.400100,-76756.500224,-76756.912724,-62342.951385,-59018.508162,-59013.930667,2.467666,10.422683,449.308880,551.950997,12641,1175608,3600.000000,4,2,230,GUROBI,1
10,New,4,-95241.614108,-95184.603841,-95238.136937,-82654.746333,-78971.672270,-78964.392267,7.792012,15.196314,266.694320,266.775372,3575,533554,3600.000000,4,58,213,GUROBI,1
