instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,None,16,62.637280,62.637280,62.637280,62.737055,65.660475,65.666667,0.000002,1.407531,45.685521,3530.117204,373746,29626764,3600.000000,0,0,0,GUROBI,1
1,None,16,62.645739,62.645739,62.645739,62.746277,64.678937,65.666667,0.000002,1.177600,368.099871,3600.001126,373357,29963314,3600.000000,0,0,0,GUROBI,1
2,None,16,60.769619,60.769619,60.769619,61.506333,64.410519,64.416667,0.000003,1.597706,648.671149,3593.396801,312837,28529405,3600.000000,0,0,0,GUROBI,1
3,None,16,61.969620,61.969620,61.969620,62.219116,64.057858,65.656250,0.000002,2.302948,3286.537427,3600.003278,335348,29873158,3600.000000,0,0,0,GUROBI,1
4,None,16,62.077155,62.077155,62.077155,62.361570,64.080742,65.666667,0.000002,1.775305,1680.313013,3600.001135,359878,30728596,3600.000000,0,0,0,GUROBI,1
5,None,16,62.637280,62.637280,62.637280,62.732109,64.247040,65.666667,0.000001,1.131620,2427.727741,3600.001222,376748,29799409,3600.000000,0,0,0,GUROBI,1
6,None,16,62.186211,62.186211,62.186211,62.613726,63.956262,65.666667,0.000002,1.617254,169.193675,3600.001129,367016,31323224,3600.000000,0,0,0,GUROBI,1
7,None,16,62.270256,62.270256,62.270256,62.541865,63.979314,65.666667,0.000002,1.817159,340.384703,3600.001168,348670,30868577,3600.000000,0,0,0,GUROBI,1
8,None,16,62.637280,62.637280,62.637280,62.737173,63.973802,65.666667,0.000002,1.402032,2960.934263,3600.001122,353689,29906824,3600.000000,0,0,0,GUROBI,1
9,None,16,62.643978,62.643978,62.643978,62.748707,64.098984,66.250000,0.000001,1.231335,788.122510,3600.002103,354971,24312034,3600.000000,0,0,0,GUROBI,1
