instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,New,4,62.637280,62.690000,62.673797,62.736970,64.139251,65.666667,86.058268,88.496651,1643.850065,3686.061059,324326,27580812,3600.000000,4,52,52,GUROBI,1,0,0,0
1,Farkas,4,62.645739,62.690000,62.675656,62.744484,64.240639,65.666667,0.165810,1.396925,554.237237,3600.168373,344431,29647447,3600.000000,4,52,0,GUROBI,1,0,0,0
2,Farkas,4,60.769619,60.785452,60.769619,61.514095,64.410268,64.416667,0.490354,2.322492,423.286518,2503.975124,232156,19841458,3600.000000,4,52,0,GUROBI,1,0,0,0
3,Farkas,4,61.969620,61.993829,61.969620,62.219457,64.080453,65.656250,0.707711,3.079995,178.008462,3600.708979,310497,28254669,3600.000000,4,52,0,GUROBI,1,0,0,0
4,Farkas,4,62.077155,62.095064,62.077155,62.359199,65.103892,65.666667,0.690211,2.527607,89.894366,3600.691466,361677,30298661,3600.000000,4,52,0,GUROBI,1,0,0,0
5,Farkas,4,62.637280,62.690000,62.673797,62.732621,64.367316,65.666667,0.306674,1.552436,1719.221790,3600.308012,354910,23745365,3600.000000,4,52,0,GUROBI,1,0,0,0
6,Farkas,4,62.186211,62.220297,62.186211,62.608859,64.016136,65.666667,0.653072,2.422930,2491.212647,3600.655094,350612,30193439,3600.000000,4,52,0,GUROBI,1,0,0,0
7,Farkas,4,62.270256,62.293162,62.270256,62.543964,63.895556,65.666667,0.549879,2.204638,1334.783895,3600.551173,348707,24943606,3600.000000,4,52,0,GUROBI,1,0,0,0
8,Farkas,4,62.637280,62.690000,62.673797,62.729197,65.660420,65.666667,0.388055,1.720489,211.712865,3486.903157,350335,27994342,3600.000000,4,52,0,GUROBI,1,0,0,0
9,Farkas,4,62.643978,62.690000,62.675072,62.749428,64.048142,66.250000,0.160542,1.334324,1146.066030,3600.161679,366172,30045974,3600.000000,4,52,0,GUROBI,1,0,0,0
