instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,New,4,-2406943.556343,-2406943.553024,-2406943.553024,-2406922.133131,-2406796.028861,-2406571.780900,0.517360,0.818213,1804.462629,1804.607725,2647782,16992745,3600.000000,4,11,11,GUROBI,1,0,0,0
1,Farkas,4,-2403427.403218,-2403427.403218,-2403427.403218,-2403405.014501,-2403245.052978,-2403040.079300,0.040695,0.289717,3029.543192,3029.543406,5611304,28884238,3600.000000,4,11,0,GUROBI,1,0,0,0
2,Farkas,4,-2413529.891128,-2413529.891128,-2413529.891128,-2413505.998063,-2413366.358596,-2413138.920900,0.035704,0.281629,3600.037653,3600.037863,6160528,30521365,3600.000000,4,11,0,GUROBI,1,0,0,0
3,Farkas,4,-2420812.300565,-2420812.300565,-2420812.300565,-2420788.240763,-2420650.768318,-2420418.280600,0.037927,0.276553,3600.040539,3600.040728,6976743,30698245,3600.000000,4,11,0,GUROBI,1,0,0,0
4,Farkas,4,-2403380.803618,-2403380.803618,-2403380.803618,-2403353.455497,-2403219.869381,-2403063.173200,0.033165,0.268136,825.028887,825.029108,669765,5201135,3600.000000,4,11,0,GUROBI,1,0,0,0
5,Farkas,4,-2408426.682835,-2408426.682835,-2408426.682835,-2408392.270817,-2408261.837670,-2408047.849500,0.037408,0.264152,3503.095221,3600.039297,6870895,33495819,3600.000000,4,11,0,GUROBI,1,0,0,0
6,Farkas,4,-2401762.669535,-2401762.669535,-2401762.669535,-2401734.584167,-2401580.904290,-2401389.981900,0.033791,0.333875,1721.198546,1721.260100,1530678,10611569,3600.000000,4,11,0,GUROBI,1,0,0,0
7,Farkas,4,-2413281.442348,-2413281.442348,-2413281.442348,-2413257.261747,-2413137.336872,-2412899.952400,0.038891,0.284907,3191.635323,3600.040747,5858316,28169831,3600.000000,4,11,0,GUROBI,1,0,0,0
8,Farkas,4,-2403792.233140,-2403792.233140,-2403792.233140,-2403767.649283,-2403625.603624,-2403421.730700,0.038631,0.266345,1266.681860,1266.682095,1394382,8159750,3600.000000,4,11,0,GUROBI,1,0,0,0
9,Farkas,4,-2409723.796097,-2409723.796097,-2409723.796097,-2409696.706425,-2409567.934139,-2409355.165300,0.035086,0.374742,853.911782,853.915684,827934,5249707,3600.000000,4,11,0,GUROBI,1,0,0,0
10,Farkas,4,-2401453.629422,-2401453.629422,-2401453.629422,-2401415.257465,-2401248.033483,-2401034.060100,0.036706,0.279856,1407.398678,1420.661406,1262433,8930998,3600.000000,4,11,0,GUROBI,1,0,0,0
